month,city,sales_channel,category_l1,category_l2,customer_type,promotion_type,paying_customers,paid_orders,units_sold,gmv
2024-01,北辰市,自营小程序,清洁用品,家居耗材,新客户,会员优惠,18,20,34,761.26
2024-01,北辰市,自营小程序,清洁用品,清洁工具,老客户,无促销,94,121,201,7503.33
2024-01,北辰市,自营小程序,清洁用品,清洁工具,老客户,优惠券,28,37,62,2139.62
2024-01,北辰市,自营小程序,清洁用品,清洁工具,老客户,平台大促,15,20,34,1074.40
2024-01,北辰市,自营小程序,清洁用品,清洁工具,老客户,会员优惠,28,37,63,2130.03
2024-01,北辰市,自营小程序,清洁用品,家居耗材,老客户,无促销,84,112,191,4673.77
2024-01,北辰市,自营小程序,清洁用品,家居耗材,老客户,优惠券,25,33,56,1279.04
2024-01,北辰市,自营小程序,清洁用品,家居耗材,老客户,平台大促,14,19,32,652.80
2024-01,北辰市,自营小程序,清洁用品,家居耗材,老客户,会员优惠,25,32,53,1186.67
2024-01,北辰市,自营小程序,小家电,厨房小电,新客户,无促销,81,90,100,21492.00
2024-01,北辰市,自营小程序,小家电,厨房小电,新客户,优惠券,24,27,30,5966.70
2024-01,北辰市,自营小程序,小家电,厨房小电,新客户,平台大促,13,15,17,3073.77
2024-01,北辰市,自营小程序,小家电,厨房小电,新客户,会员优惠,14,16,18,3483.00
2024-01,北辰市,自营小程序,小家电,生活电器,新客户,无促销,72,79,89,14691.23
2024-01,北辰市,自营小程序,小家电,生活电器,新客户,优惠券,21,23,26,3973.84
2024-01,北辰市,自营小程序,小家电,生活电器,新客户,平台大促,12,13,15,2090.70
2024-01,北辰市,自营小程序,小家电,生活电器,新客户,会员优惠,13,14,16,2401.44
2024-01,北辰市,自营小程序,小家电,厨房小电,老客户,无促销,72,93,105,22566.60
2024-01,北辰市,自营小程序,小家电,厨房小电,老客户,优惠券,21,28,31,6165.59
2024-01,北辰市,自营小程序,小家电,厨房小电,老客户,平台大促,12,16,18,3254.58
2024-01,北辰市,自营小程序,小家电,厨房小电,老客户,会员优惠,21,27,30,5805.00
2024-01,北辰市,自营小程序,小家电,生活电器,老客户,无促销,64,83,92,15186.44
2024-01,北辰市,自营小程序,小家电,生活电器,老客户,优惠券,19,25,28,4279.52
2024-01,北辰市,自营小程序,小家电,生活电器,老客户,平台大促,11,15,17,2369.46
2024-01,北辰市,自营小程序,小家电,生活电器,老客户,会员优惠,19,25,28,4202.52
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,新客户,无促销,91,99,139,9867.61
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,新客户,优惠券,27,30,42,2757.30
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,新客户,平台大促,15,17,24,1448.64
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,新客户,会员优惠,16,18,26,1668.16
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,新客户,无促销,80,90,130,4448.60
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,新客户,优惠券,24,26,37,1182.89
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,新客户,平台大促,13,14,20,568.60
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,新客户,会员优惠,14,15,21,651.63
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,老客户,无促销,78,101,145,10293.55
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,老客户,优惠券,23,30,43,2822.95
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,老客户,平台大促,13,17,24,1448.64
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,老客户,会员优惠,23,30,43,2758.88
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,老客户,无促销,70,93,132,4517.04
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,老客户,优惠券,21,27,39,1246.83
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,老客户,平台大促,11,14,20,568.60
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,老客户,会员优惠,21,27,38,1179.14
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,新客户,无促销,71,77,119,5122.95
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,新客户,优惠券,21,23,36,1443.60
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,新客户,平台大促,12,13,20,733.00
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,新客户,会员优惠,13,14,22,876.04
2024-01,北辰市,第三方平台,收纳用品,空间整理,新客户,无促销,63,69,107,6100.07
2024-01,北辰市,第三方平台,收纳用品,空间整理,新客户,优惠券,18,20,31,1656.02
2024-01,北辰市,第三方平台,收纳用品,空间整理,新客户,平台大促,10,11,17,816.00
2024-01,北辰市,第三方平台,收纳用品,空间整理,新客户,会员优惠,11,12,18,949.86
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,老客户,无促销,58,75,114,4907.70
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,老客户,优惠券,17,22,34,1363.40
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,老客户,平台大促,10,13,20,733.00
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,老客户,会员优惠,17,22,34,1353.88
2024-01,北辰市,第三方平台,收纳用品,空间整理,老客户,无促销,52,69,109,6214.09
2024-01,北辰市,第三方平台,收纳用品,空间整理,老客户,优惠券,15,20,31,1656.02
2024-01,北辰市,第三方平台,收纳用品,空间整理,老客户,平台大促,9,12,19,912.00
2024-01,北辰市,第三方平台,收纳用品,空间整理,老客户,会员优惠,15,20,31,1635.87
2024-01,北辰市,第三方平台,清洁用品,清洁工具,新客户,无促销,83,93,154,6053.74
2024-01,北辰市,第三方平台,清洁用品,清洁工具,新客户,优惠券,24,26,43,1572.08
2024-01,北辰市,第三方平台,清洁用品,清洁工具,新客户,平台大促,14,15,25,826.75
2024-01,北辰市,第三方平台,清洁用品,清洁工具,新客户,会员优惠,15,16,27,970.11
2024-01,北辰市,第三方平台,清洁用品,家居耗材,新客户,无促销,74,82,139,3604.27
2024-01,北辰市,第三方平台,清洁用品,家居耗材,新客户,优惠券,22,24,40,966.80
2024-01,北辰市,第三方平台,清洁用品,家居耗材,新客户,平台大促,12,13,22,477.40
2024-01,北辰市,第三方平台,清洁用品,家居耗材,新客户,会员优惠,13,14,23,544.18
2024-01,北辰市,第三方平台,清洁用品,清洁工具,老客户,无促销,75,98,164,6446.84
2024-01,北辰市,第三方平台,清洁用品,清洁工具,老客户,优惠券,22,29,48,1754.88
2024-01,北辰市,第三方平台,清洁用品,清洁工具,老客户,平台大促,12,16,27,892.89
2024-01,北辰市,第三方平台,清洁用品,清洁工具,老客户,会员优惠,22,29,49,1760.57
2024-01,北辰市,第三方平台,清洁用品,家居耗材,老客户,无促销,66,88,146,3785.78
2024-01,北辰市,第三方平台,清洁用品,家居耗材,老客户,优惠券,20,26,44,1063.48
2024-01,北辰市,第三方平台,清洁用品,家居耗材,老客户,平台大促,11,14,24,520.80
2024-01,北辰市,第三方平台,清洁用品,家居耗材,老客户,会员优惠,20,26,44,1041.04
2024-01,北辰市,第三方平台,小家电,厨房小电,新客户,无促销,61,68,77,17216.43
2024-01,北辰市,第三方平台,小家电,厨房小电,新客户,优惠券,18,20,22,4591.40
2024-01,北辰市,第三方平台,小家电,厨房小电,新客户,平台大促,10,11,12,2260.68
2024-01,北辰市,第三方平台,小家电,厨房小电,新客户,会员优惠,11,12,13,2639.78
2024-01,北辰市,第三方平台,小家电,生活电器,新客户,无促销,54,60,68,11769.44
2024-01,北辰市,第三方平台,小家电,生活电器,新客户,优惠券,16,18,20,3225.80
2024-01,北辰市,第三方平台,小家电,生活电器,新客户,平台大促,9,10,11,1619.20
2024-01,北辰市,第三方平台,小家电,生活电器,新客户,会员优惠,10,11,12,1904.76
2024-01,北辰市,第三方平台,小家电,厨房小电,老客户,无促销,54,70,79,17663.61
2024-01,北辰市,第三方平台,小家电,厨房小电,老客户,优惠券,16,21,24,5008.80
2024-01,北辰市,第三方平台,小家电,厨房小电,老客户,平台大促,9,12,13,2449.07
2024-01,北辰市,第三方平台,小家电,厨房小电,老客户,会员优惠,16,21,24,4873.44
2024-01,北辰市,第三方平台,小家电,生活电器,老客户,无促销,48,62,69,11942.52
2024-01,北辰市,第三方平台,小家电,生活电器,老客户,优惠券,14,18,20,3225.80
2024-01,北辰市,第三方平台,小家电,生活电器,老客户,平台大促,8,10,11,1619.20
2024-01,北辰市,第三方平台,小家电,生活电器,老客户,会员优惠,14,18,21,3333.33
2024-01,云岭市,自营App,厨房用品,烹饪器具,新客户,无促销,147,161,226,15456.14
2024-01,云岭市,自营App,厨房用品,烹饪器具,新客户,优惠券,43,48,68,4315.28
2024-01,云岭市,自营App,厨房用品,烹饪器具,新客户,平台大促,24,27,38,2184.62
2024-01,云岭市,自营App,厨房用品,烹饪器具,新客户,会员优惠,27,30,42,2653.98
2024-01,云岭市,自营App,厨房用品,餐厨工具,新客户,无促销,131,146,204,6732.00
2024-01,云岭市,自营App,厨房用品,餐厨工具,新客户,优惠券,39,43,60,1848.00
2024-01,云岭市,自营App,厨房用品,餐厨工具,新客户,平台大促,21,23,32,895.36
2024-01,云岭市,自营App,厨房用品,餐厨工具,新客户,会员优惠,24,27,38,1153.30
2024-01,云岭市,自营App,厨房用品,烹饪器具,老客户,无促销,123,161,227,15524.53
2024-01,云岭市,自营App,厨房用品,烹饪器具,老客户,优惠券,36,47,66,4188.36
2024-01,云岭市,自营App,厨房用品,烹饪器具,老客户,平台大促,20,27,38,2184.62
2024-01,云岭市,自营App,厨房用品,烹饪器具,老客户,会员优惠,37,48,68,4296.92
2024-01,云岭市,自营App,厨房用品,餐厨工具,老客户,无促销,109,143,200,6600.00
2024-01,云岭市,自营App,厨房用品,餐厨工具,老客户,优惠券,32,42,59,1817.20
2024-01,云岭市,自营App,厨房用品,餐厨工具,老客户,平台大促,18,24,34,951.32
2024-01,云岭市,自营App,厨房用品,餐厨工具,老客户,会员优惠,33,44,63,1912.05
2024-01,云岭市,自营App,收纳用品,衣物收纳,新客户,无促销,109,122,189,7864.29
2024-01,云岭市,自营App,收纳用品,衣物收纳,新客户,优惠券,32,35,55,2158.20
2024-01,云岭市,自营App,收纳用品,衣物收纳,新客户,平台大促,18,20,31,1099.88
2024-01,云岭市,自营App,收纳用品,衣物收纳,新客户,会员优惠,20,22,34,1289.62
2024-01,云岭市,自营App,收纳用品,空间整理,新客户,无促销,97,107,164,9106.92
2024-01,云岭市,自营App,收纳用品,空间整理,新客户,优惠券,29,32,50,2614.50
2024-01,云岭市,自营App,收纳用品,空间整理,新客户,平台大促,16,18,28,1309.84
2024-01,云岭市,自营App,收纳用品,空间整理,新客户,会员优惠,17,19,29,1476.68
2024-01,云岭市,自营App,收纳用品,衣物收纳,老客户,无促销,96,125,192,7989.12
2024-01,云岭市,自营App,收纳用品,衣物收纳,老客户,优惠券,28,36,56,2197.44
2024-01,云岭市,自营App,收纳用品,衣物收纳,老客户,平台大促,16,21,32,1135.36
2024-01,云岭市,自营App,收纳用品,衣物收纳,老客户,会员优惠,28,36,57,2162.01
2024-01,云岭市,自营App,收纳用品,空间整理,老客户,无促销,85,110,171,9495.63
2024-01,云岭市,自营App,收纳用品,空间整理,老客户,优惠券,25,33,51,2666.79
2024-01,云岭市,自营App,收纳用品,空间整理,老客户,平台大促,14,18,28,1309.84
2024-01,云岭市,自营App,收纳用品,空间整理,老客户,会员优惠,25,32,50,2546.00
2024-01,云岭市,自营App,清洁用品,清洁工具,新客户,无促销,132,143,242,9212.94
2024-01,云岭市,自营App,清洁用品,清洁工具,新客户,优惠券,39,42,70,2462.60
2024-01,云岭市,自营App,清洁用品,清洁工具,新客户,平台大促,22,24,41,1319.38
2024-01,云岭市,自营App,清洁用品,清洁工具,新客户,会员优惠,24,26,43,1483.50
2024-01,云岭市,自营App,清洁用品,家居耗材,新客户,无促销,117,127,213,5378.25
2024-01,云岭市,自营App,清洁用品,家居耗材,新客户,优惠券,35,38,63,1458.45
2024-01,云岭市,自营App,清洁用品,家居耗材,新客户,平台大促,19,21,35,730.80
2024-01,云岭市,自营App,清洁用品,家居耗材,新客户,会员优惠,21,23,38,857.28
2024-01,云岭市,自营App,清洁用品,清洁工具,老客户,无促销,113,150,256,9745.92
2024-01,云岭市,自营App,清洁用品,清洁工具,老客户,优惠券,33,43,73,2568.14
2024-01,云岭市,自营App,清洁用品,清洁工具,老客户,平台大促,18,24,40,1287.20
2024-01,云岭市,自营App,清洁用品,清洁工具,老客户,会员优惠,34,44,74,2553.00
2024-01,云岭市,自营App,清洁用品,家居耗材,老客户,无促销,100,129,213,5378.25
2024-01,云岭市,自营App,清洁用品,家居耗材,老客户,优惠券,30,39,66,1527.90
2024-01,云岭市,自营App,清洁用品,家居耗材,老客户,平台大促,16,21,35,730.80
2024-01,云岭市,自营App,清洁用品,家居耗材,老客户,会员优惠,30,39,67,1511.52
2024-01,云岭市,自营App,小家电,厨房小电,新客户,无促销,96,106,119,26307.33
2024-01,云岭市,自营App,小家电,厨房小电,新客户,优惠券,29,32,36,7284.96
2024-01,云岭市,自营App,小家电,厨房小电,新客户,平台大促,16,17,19,3506.45
2024-01,云岭市,自营App,小家电,厨房小电,新客户,会员优惠,17,18,20,3950.00
2024-01,云岭市,自营App,小家电,生活电器,新客户,无促销,86,96,108,18264.96
2024-01,云岭市,自营App,小家电,生活电器,新客户,优惠券,25,27,30,4715.10
2024-01,云岭市,自营App,小家电,生活电器,新客户,平台大促,14,16,18,2532.42
2024-01,云岭市,自营App,小家电,生活电器,新客户,会员优惠,15,17,19,2897.69
2024-01,云岭市,自营App,小家电,厨房小电,老客户,无促销,83,109,120,26528.40
2024-01,云岭市,自营App,小家电,厨房小电,老客户,优惠券,24,32,36,7284.96
2024-01,云岭市,自营App,小家电,厨房小电,老客户,平台大促,14,19,21,3875.55
2024-01,云岭市,自营App,小家电,厨房小电,老客户,会员优惠,25,33,37,7307.50
2024-01,云岭市,自营App,小家电,生活电器,老客户,无促销,74,97,109,18434.08
2024-01,云岭市,自营App,小家电,生活电器,老客户,优惠券,22,29,32,5029.44
2024-01,云岭市,自营App,小家电,生活电器,老客户,平台大促,12,16,18,2532.42
2024-01,云岭市,自营App,小家电,生活电器,老客户,会员优惠,22,28,32,4880.32
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,新客户,无促销,100,110,154,10398.08
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,新客户,优惠券,29,32,46,2860.28
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,新客户,平台大促,16,17,24,1375.68
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,新客户,会员优惠,18,20,28,1740.20
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,新客户,无促销,89,98,141,4517.64
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,新客户,优惠券,26,28,40,1198.40
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,新客户,平台大促,15,16,23,632.04
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,新客户,会员优惠,16,17,24,699.36
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,老客户,无促销,85,110,156,10533.12
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,老客户,优惠券,25,33,46,2860.28
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,老客户,平台大促,14,18,25,1433.00
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,老客户,会员优惠,25,33,46,2858.90
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,老客户,无促销,75,100,141,4517.64
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,老客户,优惠券,22,29,42,1258.32
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,老客户,平台大促,12,16,23,632.04
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,老客户,会员优惠,22,29,40,1165.60
2024-01,云岭市,自营小程序,收纳用品,衣物收纳,新客户,无促销,77,85,132,5495.16
2024-01,云岭市,自营小程序,收纳用品,衣物收纳,新客户,优惠券,23,25,38,1451.22
2024-01,云岭市,自营小程序,收纳用品,衣物收纳,新客户,平台大促,13,14,22,769.34
2024-01,云岭市,自营小程序,收纳用品,衣物收纳,新客户,会员优惠,14,16,25,944.25
2024-01,云岭市,自营小程序,收纳用品,空间整理,新客户,无促销,68,76,116,6366.08
2024-01,云岭市,自营小程序,收纳用品,空间整理,新客户,优惠券,20,22,35,1768.55
2024-01,云岭市,自营小程序,收纳用品,空间整理,新客户,平台大促,11,12,18,828.00
2024-01,云岭市,自营小程序,收纳用品,空间整理,新客户,会员优惠,12,13,20,994.00
2024-01,云岭市,自营小程序,收纳用品,衣物收纳,老客户,无促销,69,89,138,5744.94
2024-01,云岭市,自营小程序,收纳用品,衣物收纳,老客户,优惠券,20,26,40,1527.60
2024-01,云岭市,自营小程序,收纳用品,衣物收纳,老客户,平台大促,11,15,23,804.31
2024-01,云岭市,自营小程序,收纳用品,衣物收纳,老客户,会员优惠,21,27,42,1586.34
2024-01,云岭市,自营小程序,收纳用品,空间整理,老客户,无促销,61,79,120,6585.60
2024-01,云岭市,自营小程序,收纳用品,空间整理,老客户,优惠券,18,23,35,1768.55
2024-01,云岭市,自营小程序,收纳用品,空间整理,老客户,平台大促,10,13,20,920.00
2024-01,云岭市,自营小程序,收纳用品,空间整理,老客户,会员优惠,18,24,38,1888.60
2024-01,云岭市,自营小程序,清洁用品,清洁工具,新客户,无促销,91,101,171,6436.44
2024-01,云岭市,自营小程序,清洁用品,清洁工具,新客户,优惠券,27,30,51,1786.53
2024-01,云岭市,自营小程序,清洁用品,清洁工具,新客户,平台大促,15,16,27,854.55
2024-01,云岭市,自营小程序,清洁用品,清洁工具,新客户,会员优惠,17,19,32,1074.56
2024-01,云岭市,自营小程序,清洁用品,家居耗材,新客户,无促销,81,89,150,3655.50
2024-01,云岭市,自营小程序,清洁用品,家居耗材,新客户,优惠券,24,27,45,1030.50
2024-01,云岭市,自营小程序,清洁用品,家居耗材,新客户,平台大促,13,14,23,477.48
2024-01,云岭市,自营小程序,清洁用品,家居耗材,新客户,会员优惠,15,17,29,648.73
2024-01,云岭市,自营小程序,清洁用品,清洁工具,老客户,无促销,79,104,174,6549.36
