month,city,sales_channel,category_l1,customer_type,product_detail_users,add_to_cart_users,order_submit_users,paying_customers
2024-01,东澜市,自营小程序,收纳用品,老客户,2016,710,495,377
2024-01,东澜市,自营小程序,清洁用品,老客户,2099,839,589,435
2024-01,东澜市,自营小程序,小家电,老客户,1932,614,424,316
2024-01,东澜市,第三方平台,厨房用品,新客户,2363,845,576,397
2024-01,东澜市,第三方平台,收纳用品,新客户,2025,633,430,291
2024-01,东澜市,第三方平台,清洁用品,新客户,2109,762,527,358
2024-01,东澜市,第三方平台,小家电,新客户,1941,570,389,265
2024-01,东澜市,第三方平台,厨房用品,老客户,1862,712,491,369
2024-01,东澜市,第三方平台,收纳用品,老客户,1596,573,391,294
2024-01,东澜市,第三方平台,清洁用品,老客户,1662,687,466,351
2024-01,东澜市,第三方平台,小家电,老客户,1529,496,338,258
2024-01,海岳市,自营App,厨房用品,新客户,3966,1410,986,665
2024-01,海岳市,自营App,收纳用品,新客户,3400,1073,738,495
2024-01,海岳市,自营App,清洁用品,新客户,3542,1286,898,600
2024-01,海岳市,自营App,小家电,新客户,3258,934,636,436
2024-01,海岳市,自营App,厨房用品,老客户,3118,1191,810,613
2024-01,海岳市,自营App,收纳用品,老客户,2673,940,653,495
2024-01,海岳市,自营App,清洁用品,老客户,2784,1111,770,579
2024-01,海岳市,自营App,小家电,老客户,2562,824,575,430
2024-01,海岳市,自营小程序,厨房用品,新客户,2711,932,653,437
2024-01,海岳市,自营小程序,收纳用品,新客户,2324,747,519,347
2024-01,海岳市,自营小程序,清洁用品,新客户,2420,917,632,427
2024-01,海岳市,自营小程序,小家电,新客户,2227,656,450,309
2024-01,海岳市,自营小程序,厨房用品,老客户,1995,782,545,410
2024-01,海岳市,自营小程序,收纳用品,老客户,1710,596,406,305
2024-01,海岳市,自营小程序,清洁用品,老客户,1781,723,502,375
2024-01,海岳市,自营小程序,小家电,老客户,1638,526,363,273
2024-01,海岳市,第三方平台,厨房用品,新客户,2027,697,485,335
2024-01,海岳市,第三方平台,收纳用品,新客户,1737,543,374,257
2024-01,海岳市,第三方平台,清洁用品,新客户,1810,686,468,320
2024-01,海岳市,第三方平台,小家电,新客户,1665,485,339,231
2024-01,海岳市,第三方平台,厨房用品,老客户,1562,589,403,304
2024-01,海岳市,第三方平台,收纳用品,老客户,1339,482,332,249
2024-01,海岳市,第三方平台,清洁用品,老客户,1395,559,383,291
2024-01,海岳市,第三方平台,小家电,老客户,1283,425,291,219
2024-01,南浦市,自营App,厨房用品,新客户,3544,1235,855,589
2024-01,南浦市,自营App,收纳用品,新客户,3037,982,687,464
2024-01,南浦市,自营App,清洁用品,新客户,3164,1176,798,541
2024-01,南浦市,自营App,小家电,新客户,2911,848,593,397
2024-01,南浦市,自营App,厨房用品,老客户,2832,1070,746,559
2024-01,南浦市,自营App,收纳用品,老客户,2428,850,581,432
2024-01,南浦市,自营App,清洁用品,老客户,2529,1015,690,519
2024-01,南浦市,自营App,小家电,老客户,2326,739,505,376
2024-01,南浦市,自营小程序,厨房用品,新客户,2480,869,602,407
2024-01,南浦市,自营小程序,收纳用品,新客户,2126,688,477,319
2024-01,南浦市,自营小程序,清洁用品,新客户,2214,811,558,378
2024-01,南浦市,自营小程序,小家电,新客户,2037,604,410,283
2024-01,南浦市,自营小程序,厨房用品,老客户,1907,727,496,371
2024-01,南浦市,自营小程序,收纳用品,老客户,1634,573,390,288
2024-01,南浦市,自营小程序,清洁用品,老客户,1703,702,482,357
2024-01,南浦市,自营小程序,小家电,老客户,1566,512,358,270
2024-01,南浦市,第三方平台,厨房用品,新客户,1829,644,449,303
2024-01,南浦市,第三方平台,收纳用品,新客户,1568,508,347,240
2024-01,南浦市,第三方平台,清洁用品,新客户,1633,591,401,273
2024-01,南浦市,第三方平台,小家电,新客户,1503,446,304,204
2024-01,南浦市,第三方平台,厨房用品,老客户,1447,566,387,286
2024-01,南浦市,第三方平台,收纳用品,老客户,1240,431,299,223
2024-01,南浦市,第三方平台,清洁用品,老客户,1292,532,362,272
2024-01,南浦市,第三方平台,小家电,老客户,1188,384,264,195
2024-01,榕川市,自营App,厨房用品,新客户,3084,1056,735,499
2024-01,榕川市,自营App,收纳用品,新客户,2643,827,565,390
2024-01,榕川市,自营App,清洁用品,新客户,2754,1007,689,461
2024-01,榕川市,自营App,小家电,新客户,2533,732,514,356
2024-01,榕川市,自营App,厨房用品,老客户,2398,937,635,474
2024-01,榕川市,自营App,收纳用品,老客户,2056,740,508,382
2024-01,榕川市,自营App,清洁用品,老客户,2141,865,593,441
2024-01,榕川市,自营App,小家电,老客户,1970,637,445,329
2024-01,榕川市,自营小程序,厨房用品,新客户,2104,730,502,344
2024-01,榕川市,自营小程序,收纳用品,新客户,1803,590,411,284
2024-01,榕川市,自营小程序,清洁用品,新客户,1878,684,476,318
2024-01,榕川市,自营小程序,小家电,新客户,1728,508,350,239
2024-01,榕川市,自营小程序,厨房用品,老客户,1577,597,410,305
2024-01,榕川市,自营小程序,收纳用品,老客户,1351,474,328,248
2024-01,榕川市,自营小程序,清洁用品,老客户,1408,584,397,296
2024-01,榕川市,自营小程序,小家电,老客户,1295,431,302,225
2024-01,榕川市,第三方平台,厨房用品,新客户,1578,560,387,267
2024-01,榕川市,第三方平台,收纳用品,新客户,1352,439,306,207
2024-01,榕川市,第三方平台,清洁用品,新客户,1409,526,369,255
2024-01,榕川市,第三方平台,小家电,新客户,1296,370,255,171
2024-01,榕川市,第三方平台,厨房用品,老客户,1247,492,335,253
2024-01,榕川市,第三方平台,收纳用品,老客户,1069,386,270,203
2024-01,榕川市,第三方平台,清洁用品,老客户,1114,441,300,226
2024-01,榕川市,第三方平台,小家电,老客户,1024,336,229,170
2024-02,北辰市,自营App,厨房用品,新客户,2980,1048,728,490
2024-02,北辰市,自营App,收纳用品,新客户,2554,824,570,386
2024-02,北辰市,自营App,清洁用品,新客户,2660,1000,679,456
2024-02,北辰市,自营App,小家电,新客户,2448,713,490,335
2024-02,北辰市,自营App,厨房用品,老客户,2303,883,607,453
2024-02,北辰市,自营App,收纳用品,老客户,1974,699,478,353
2024-02,北辰市,自营App,清洁用品,老客户,2057,843,588,439
2024-02,北辰市,自营App,小家电,老客户,1892,621,421,314
2024-02,北辰市,自营小程序,厨房用品,新客户,1982,682,474,318
2024-02,北辰市,自营小程序,收纳用品,新客户,1699,541,373,258
2024-02,北辰市,自营小程序,清洁用品,新客户,1770,668,460,312
2024-02,北辰市,自营小程序,小家电,新客户,1629,476,325,219
2024-02,北辰市,自营小程序,厨房用品,老客户,1556,600,416,308
2024-02,北辰市,自营小程序,收纳用品,老客户,1334,483,330,248
2024-02,北辰市,自营小程序,清洁用品,老客户,1389,556,383,286
2024-02,北辰市,自营小程序,小家电,老客户,1278,424,294,217
2024-02,北辰市,第三方平台,厨房用品,新客户,1579,563,382,257
2024-02,北辰市,第三方平台,收纳用品,新客户,1353,432,299,203
2024-02,北辰市,第三方平台,清洁用品,新客户,1410,531,362,249
2024-02,北辰市,第三方平台,小家电,新客户,1297,367,256,176
2024-02,北辰市,第三方平台,厨房用品,老客户,1175,459,315,235
2024-02,北辰市,第三方平台,收纳用品,老客户,1008,360,250,188
2024-02,北辰市,第三方平台,清洁用品,老客户,1050,425,289,216
2024-02,北辰市,第三方平台,小家电,老客户,966,319,219,164
2024-02,云岭市,自营App,厨房用品,新客户,2437,836,586,394
2024-02,云岭市,自营App,收纳用品,新客户,2089,668,462,318
2024-02,云岭市,自营App,清洁用品,新客户,2176,813,554,383
2024-02,云岭市,自营App,小家电,新客户,2001,583,401,271
2024-02,云岭市,自营App,厨房用品,老客户,1993,775,536,396
2024-02,云岭市,自营App,收纳用品,老客户,1709,612,423,318
2024-02,云岭市,自营App,清洁用品,老客户,1780,726,494,374
2024-02,云岭市,自营App,小家电,老客户,1637,530,367,277
2024-02,云岭市,自营小程序,厨房用品,新客户,1731,606,413,282
2024-02,云岭市,自营小程序,收纳用品,新客户,1484,474,333,223
2024-02,云岭市,自营小程序,清洁用品,新客户,1545,566,388,260
2024-02,云岭市,自营小程序,小家电,新客户,1422,421,294,202
2024-02,云岭市,自营小程序,厨房用品,老客户,1293,500,345,257
2024-02,云岭市,自营小程序,收纳用品,老客户,1109,390,272,202
2024-02,云岭市,自营小程序,清洁用品,老客户,1155,459,315,240
2024-02,云岭市,自营小程序,小家电,老客户,1063,346,237,177
2024-02,云岭市,第三方平台,厨房用品,新客户,1320,459,312,209
2024-02,云岭市,第三方平台,收纳用品,新客户,1131,366,257,174
2024-02,云岭市,第三方平台,清洁用品,新客户,1178,433,298,201
2024-02,云岭市,第三方平台,小家电,新客户,1084,321,218,149
2024-02,云岭市,第三方平台,厨房用品,老客户,1000,391,275,209
2024-02,云岭市,第三方平台,收纳用品,老客户,857,311,217,163
2024-02,云岭市,第三方平台,清洁用品,老客户,892,362,249,185
2024-02,云岭市,第三方平台,小家电,老客户,821,269,182,138
2024-02,东澜市,自营App,厨房用品,新客户,4254,1453,1007,682
2024-02,东澜市,自营App,收纳用品,新客户,3646,1173,812,554
2024-02,东澜市,自营App,清洁用品,新客户,3798,1371,944,644
2024-02,东澜市,自营App,小家电,新客户,3494,1030,715,490
2024-02,东澜市,自营App,厨房用品,老客户,3254,1268,884,673
2024-02,东澜市,自营App,收纳用品,老客户,2790,1011,705,536
2024-02,东澜市,自营App,清洁用品,老客户,2906,1182,820,621
2024-02,东澜市,自营App,小家电,老客户,2673,874,599,446
2024-02,东澜市,自营小程序,厨房用品,新客户,2862,1012,690,475
2024-02,东澜市,自营小程序,收纳用品,新客户,2454,800,560,386
2024-02,东澜市,自营小程序,清洁用品,新客户,2556,938,652,438
2024-02,东澜市,自营小程序,小家电,新客户,2351,694,483,323
2024-02,东澜市,自营小程序,厨房用品,老客户,2202,830,576,440
2024-02,东澜市,自营小程序,收纳用品,老客户,1887,672,456,347
2024-02,东澜市,自营小程序,清洁用品,老客户,1966,785,540,404
2024-02,东澜市,自营小程序,小家电,老客户,1809,582,404,306
2024-02,东澜市,第三方平台,厨房用品,新客户,2124,751,516,354
2024-02,东澜市,第三方平台,收纳用品,新客户,1821,592,412,284
2024-02,东澜市,第三方平台,清洁用品,新客户,1897,691,474,320
2024-02,东澜市,第三方平台,小家电,新客户,1745,496,344,232
2024-02,东澜市,第三方平台,厨房用品,老客户,1659,650,450,334
2024-02,东澜市,第三方平台,收纳用品,老客户,1422,495,344,256
2024-02,东澜市,第三方平台,清洁用品,老客户,1481,612,427,320
2024-02,东澜市,第三方平台,小家电,老客户,1363,437,299,222
2024-02,海岳市,自营App,厨房用品,新客户,3553,1258,862,594
2024-02,海岳市,自营App,收纳用品,新客户,3046,951,664,447
2024-02,海岳市,自营App,清洁用品,新客户,3173,1177,806,539
2024-02,海岳市,自营App,小家电,新客户,2919,850,595,400
2024-02,海岳市,自营App,厨房用品,老客户,2760,1048,715,532
2024-02,海岳市,自营App,收纳用品,老客户,2366,849,591,439
2024-02,海岳市,自营App,清洁用品,老客户,2465,985,677,508
2024-02,海岳市,自营App,小家电,老客户,2267,722,496,375
2024-02,海岳市,自营小程序,厨房用品,新客户,2463,862,602,404
2024-02,海岳市,自营小程序,收纳用品,新客户,2111,666,459,312
2024-02,海岳市,自营小程序,清洁用品,新客户,2199,798,542,363
2024-02,海岳市,自营小程序,小家电,新客户,2023,599,417,281
2024-02,海岳市,自营小程序,厨房用品,老客户,1909,721,505,376
2024-02,海岳市,自营小程序,收纳用品,老客户,1636,567,394,301
2024-02,海岳市,自营小程序,清洁用品,老客户,1704,700,481,360
2024-02,海岳市,自营小程序,小家电,老客户,1568,521,353,269
2024-02,海岳市,第三方平台,厨房用品,新客户,1833,627,438,301
2024-02,海岳市,第三方平台,收纳用品,新客户,1571,512,358,245
2024-02,海岳市,第三方平台,清洁用品,新客户,1636,594,404,274
2024-02,海岳市,第三方平台,小家电,新客户,1506,447,313,214
2024-02,海岳市,第三方平台,厨房用品,老客户,1477,575,396,294
2024-02,海岳市,第三方平台,收纳用品,老客户,1266,454,317,236
2024-02,海岳市,第三方平台,清洁用品,老客户,1318,527,359,272
2024-02,海岳市,第三方平台,小家电,老客户,1213,391,272,204
2024-02,南浦市,自营App,厨房用品,新客户,3361,1184,824,557
2024-02,南浦市,自营App,收纳用品,新客户,2881,904,630,435
2024-02,南浦市,自营App,清洁用品,新客户,3001,1086,736,504
2024-02,南浦市,自营App,小家电,新客户,2760,786,545,372
2024-02,南浦市,自营App,厨房用品,老客户,2674,1040,713,534
2024-02,南浦市,自营App,收纳用品,老客户,2292,796,548,414
2024-02,南浦市,自营App,清洁用品,老客户,2388,975,667,508
2024-02,南浦市,自营App,小家电,老客户,2197,729,509,387
2024-02,南浦市,自营小程序,厨房用品,新客户,2275,780,544,365
2024-02,南浦市,自营小程序,收纳用品,新客户,1950,634,445,307
2024-02,南浦市,自营小程序,清洁用品,新客户,2031,747,519,352
2024-02,南浦市,自营小程序,小家电,新客户,1869,540,373,251
2024-02,南浦市,自营小程序,厨房用品,老客户,1740,681,469,357
2024-02,南浦市,自营小程序,收纳用品,老客户,1492,529,363,275
2024-02,南浦市,自营小程序,清洁用品,老客户,1554,622,429,327
2024-02,南浦市,自营小程序,小家电,老客户,1429,469,319,239
2024-02,南浦市,第三方平台,厨房用品,新客户,1715,594,406,280
2024-02,南浦市,第三方平台,收纳用品,新客户,1470,463,317,214
2024-02,南浦市,第三方平台,清洁用品,新客户,1531,571,387,259
2024-02,南浦市,第三方平台,小家电,新客户,1408,408,279,192
2024-02,南浦市,第三方平台,厨房用品,老客户,1348,520,358,273
2024-02,南浦市,第三方平台,收纳用品,老客户,1155,413,282,214
2024-02,南浦市,第三方平台,清洁用品,老客户,1204,477,335,247
2024-02,南浦市,第三方平台,小家电,老客户,1107,364,250,188
2024-02,榕川市,自营App,厨房用品,新客户,2913,1012,711,492
2024-02,榕川市,自营App,收纳用品,新客户,2496,781,538,364
2024-02,榕川市,自营App,清洁用品,新客户,2601,959,669,459
2024-02,榕川市,自营App,小家电,新客户,2392,682,477,322
2024-02,榕川市,自营App,厨房用品,老客户,2215,850,597,455
2024-02,榕川市,自营App,收纳用品,老客户,1899,682,471,359
2024-02,榕川市,自营App,清洁用品,老客户,1978,808,561,424
2024-02,榕川市,自营App,小家电,老客户,1820,595,409,308
2024-02,榕川市,自营小程序,厨房用品,新客户,1906,652,448,306
2024-02,榕川市,自营小程序,收纳用品,新客户,1633,517,361,248
2024-02,榕川市,自营小程序,清洁用品,新客户,1701,635,443,302
2024-02,榕川市,自营小程序,小家电,新客户,1565,454,309,209
2024-02,榕川市,自营小程序,厨房用品,老客户,1455,548,373,281
2024-02,榕川市,自营小程序,收纳用品,老客户,1248,437,304,232
2024-02,榕川市,自营小程序,清洁用品,老客户,1299,520,363,277
2024-02,榕川市,自营小程序,小家电,老客户,1196,381,259,195
2024-02,榕川市,第三方平台,厨房用品,新客户,1435,513,352,241
2024-02,榕川市,第三方平台,收纳用品,新客户,1230,397,272,183
2024-02,榕川市,第三方平台,清洁用品,新客户,1282,476,325,218
2024-02,榕川市,第三方平台,小家电,新客户,1179,341,236,158
2024-02,榕川市,第三方平台,厨房用品,老客户,1180,452,310,230
2024-02,榕川市,第三方平台,收纳用品,老客户,1012,359,249,190
2024-02,榕川市,第三方平台,清洁用品,老客户,1054,416,291,222
2024-02,榕川市,第三方平台,小家电,老客户,969,315,215,162
2024-03,北辰市,自营App,厨房用品,新客户,3795,1345,933,643
2024-03,北辰市,自营App,收纳用品,新客户,3252,1045,730,498
2024-03,北辰市,自营App,清洁用品,新客户,3388,1261,886,594
2024-03,北辰市,自营App,小家电,新客户,3117,882,609,414
2024-03,北辰市,自营App,厨房用品,老客户,2734,1029,705,521
2024-03,北辰市,自营App,收纳用品,老客户,2344,817,571,432
2024-03,北辰市,自营App,清洁用品,老客户,2441,969,666,501
2024-03,北辰市,自营App,小家电,老客户,2246,724,496,372
2024-03,北辰市,自营小程序,厨房用品,新客户,2461,866,591,401
2024-03,北辰市,自营小程序,收纳用品,新客户,2109,687,473,323
2024-03,北辰市,自营小程序,清洁用品,新客户,2197,807,566,382
2024-03,北辰市,自营小程序,小家电,新客户,2022,576,390,267
2024-03,北辰市,自营小程序,厨房用品,老客户,1882,740,508,375
2024-03,北辰市,自营小程序,收纳用品,老客户,1614,578,398,300
2024-03,北辰市,自营小程序,清洁用品,老客户,1681,668,453,339
2024-03,北辰市,自营小程序,小家电,老客户,1546,514,350,262
2024-03,北辰市,第三方平台,厨房用品,新客户,2051,718,504,347
2024-03,北辰市,第三方平台,收纳用品,新客户,1758,549,376,253
2024-03,北辰市,第三方平台,清洁用品,新客户,1831,662,456,305
2024-03,北辰市,第三方平台,小家电,新客户,1685,489,334,230
2024-03,北辰市,第三方平台,厨房用品,老客户,1438,556,378,285
2024-03,北辰市,第三方平台,收纳用品,老客户,1233,436,297,220
2024-03,北辰市,第三方平台,清洁用品,老客户,1284,530,367,278
2024-03,北辰市,第三方平台,小家电,老客户,1181,378,259,194
2024-03,云岭市,自营App,厨房用品,新客户,3279,1133,769,516
2024-03,云岭市,自营App,收纳用品,新客户,2810,899,612,413
2024-03,云岭市,自营App,清洁用品,新客户,2928,1077,742,498
2024-03,云岭市,自营App,小家电,新客户,2693,777,538,369
2024-03,云岭市,自营App,厨房用品,老客户,2382,916,635,471
2024-03,云岭市,自营App,收纳用品,老客户,2041,716,490,365
2024-03,云岭市,自营App,清洁用品,老客户,2127,874,598,455
2024-03,云岭市,自营App,小家电,老客户,1956,643,447,331
2024-03,云岭市,自营小程序,厨房用品,新客户,2139,734,503,338
2024-03,云岭市,自营小程序,收纳用品,新客户,1834,598,417,283
2024-03,云岭市,自营小程序,清洁用品,新客户,1910,710,496,337
2024-03,云岭市,自营小程序,小家电,新客户,1757,509,352,241
2024-03,云岭市,自营小程序,厨房用品,老客户,1633,622,435,323
2024-03,云岭市,自营小程序,收纳用品,老客户,1400,497,340,250
2024-03,云岭市,自营小程序,清洁用品,老客户,1458,592,403,298
2024-03,云岭市,自营小程序,小家电,老客户,1341,425,292,220
2024-03,云岭市,第三方平台,厨房用品,新客户,1608,557,387,262
2024-03,云岭市,第三方平台,收纳用品,新客户,1379,448,307,209
2024-03,云岭市,第三方平台,清洁用品,新客户,1436,529,360,248
2024-03,云岭市,第三方平台,小家电,新客户,1321,384,262,177
2024-03,云岭市,第三方平台,厨房用品,老客户,1324,512,349,266
2024-03,云岭市,第三方平台,收纳用品,老客户,1135,397,271,205
2024-03,云岭市,第三方平台,清洁用品,老客户,1183,490,332,246
2024-03,云岭市,第三方平台,小家电,老客户,1088,362,246,182
2024-03,东澜市,自营App,厨房用品,新客户,5217,1784,1230,827
2024-03,东澜市,自营App,收纳用品,新客户,4472,1404,960,653
2024-03,东澜市,自营App,清洁用品,新客户,4658,1704,1189,809
2024-03,东澜市,自营App,小家电,新客户,4286,1270,869,598
2024-03,东澜市,自营App,厨房用品,老客户,4104,1569,1069,793
2024-03,东澜市,自营App,收纳用品,老客户,3518,1260,873,662
2024-03,东澜市,自营App,清洁用品,老客户,3665,1471,1007,753
2024-03,东澜市,自营App,小家电,老客户,3371,1086,756,563
2024-03,东澜市,自营小程序,厨房用品,新客户,3506,1197,837,572
2024-03,东澜市,自营小程序,收纳用品,新客户,3005,977,681,468
2024-03,东澜市,自营小程序,清洁用品,新客户,3130,1163,792,530
2024-03,东澜市,自营小程序,小家电,新客户,2880,846,590,399
2024-03,东澜市,自营小程序,厨房用品,老客户,2782,1076,732,550
2024-03,东澜市,自营小程序,收纳用品,老客户,2385,864,604,461
2024-03,东澜市,自营小程序,清洁用品,老客户,2484,1010,685,507
2024-03,东澜市,自营小程序,小家电,老客户,2286,759,521,386
2024-03,东澜市,第三方平台,厨房用品,新客户,2849,1014,696,465
2024-03,东澜市,第三方平台,收纳用品,新客户,2442,786,547,379
2024-03,东澜市,第三方平台,清洁用品,新客户,2544,952,652,449
2024-03,东澜市,第三方平台,小家电,新客户,2340,680,476,322
2024-03,东澜市,第三方平台,厨房用品,老客户,2111,818,558,414
2024-03,东澜市,第三方平台,收纳用品,老客户,1810,644,444,332
2024-03,东澜市,第三方平台,清洁用品,老客户,1885,781,543,401
2024-03,东澜市,第三方平台,小家电,老客户,1734,563,393,296
2024-03,海岳市,自营App,厨房用品,新客户,4401,1528,1046,713
2024-03,海岳市,自营App,收纳用品,新客户,3773,1199,831,575
2024-03,海岳市,自营App,清洁用品,新客户,3930,1489,1019,683
2024-03,海岳市,自营App,小家电,新客户,3615,1064,746,507
2024-03,海岳市,自营App,厨房用品,老客户,3586,1351,934,693
2024-03,海岳市,自营App,收纳用品,老客户,3073,1075,732,547
2024-03,海岳市,自营App,清洁用品,老客户,3202,1300,910,674
2024-03,海岳市,自营App,小家电,老客户,2945,936,656,501
2024-03,海岳市,自营小程序,厨房用品,新客户,3088,1065,734,497
2024-03,海岳市,自营小程序,收纳用品,新客户,2646,867,607,417
2024-03,海岳市,自营小程序,清洁用品,新客户,2757,1001,701,480
2024-03,海岳市,自营小程序,小家电,新客户,2536,724,495,340
2024-03,海岳市,自营小程序,厨房用品,老客户,2440,931,651,485
2024-03,海岳市,自营小程序,收纳用品,老客户,2091,753,519,393
2024-03,海岳市,自营小程序,清洁用品,老客户,2178,890,621,459
2024-03,海岳市,自营小程序,小家电,老客户,2004,653,458,340
2024-03,海岳市,第三方平台,厨房用品,新客户,2424,847,579,399
2024-03,海岳市,第三方平台,收纳用品,新客户,2078,649,450,306
2024-03,海岳市,第三方平台,清洁用品,新客户,2165,813,564,380
2024-03,海岳市,第三方平台,小家电,新客户,1992,567,395,267
2024-03,海岳市,第三方平台,厨房用品,老客户,1810,693,482,361
2024-03,海岳市,第三方平台,收纳用品,老客户,1552,560,384,292
2024-03,海岳市,第三方平台,清洁用品,老客户,1616,643,447,338
2024-03,海岳市,第三方平台,小家电,老客户,1487,484,330,244
2024-03,南浦市,自营App,厨房用品,新客户,4264,1496,1041,704
2024-03,南浦市,自营App,收纳用品,新客户,3655,1177,798,541
2024-03,南浦市,自营App,清洁用品,新客户,3808,1374,933,627
2024-03,南浦市,自营App,小家电,新客户,3503,1021,697,469
2024-03,南浦市,自营App,厨房用品,老客户,3196,1223,832,631
2024-03,南浦市,自营App,收纳用品,老客户,2740,952,667,492
2024-03,南浦市,自营App,清洁用品,老客户,2854,1147,799,600
2024-03,南浦市,自营App,小家电,老客户,2626,847,586,437
2024-03,南浦市,自营小程序,厨房用品,新客户,2776,961,665,451
2024-03,南浦市,自营小程序,收纳用品,新客户,2379,759,529,364
2024-03,南浦市,自营小程序,清洁用品,新客户,2478,939,642,437
2024-03,南浦市,自营小程序,小家电,新客户,2280,673,464,320
2024-03,南浦市,自营小程序,厨房用品,老客户,2232,858,602,453
2024-03,南浦市,自营小程序,收纳用品,老客户,1914,678,472,358
2024-03,南浦市,自营小程序,清洁用品,老客户,1993,801,559,424
2024-03,南浦市,自营小程序,小家电,老客户,1834,609,420,319
2024-03,南浦市,第三方平台,厨房用品,新客户,2194,787,539,364
2024-03,南浦市,第三方平台,收纳用品,新客户,1881,600,414,281
2024-03,南浦市,第三方平台,清洁用品,新客户,1959,725,503,336
2024-03,南浦市,第三方平台,小家电,新客户,1803,533,372,254
2024-03,南浦市,第三方平台,厨房用品,老客户,1709,647,443,329
2024-03,南浦市,第三方平台,收纳用品,老客户,1465,518,356,263
2024-03,南浦市,第三方平台,清洁用品,老客户,1526,611,425,313
2024-03,南浦市,第三方平台,小家电,老客户,1403,465,323,239
