month,city,sales_channel,category_l1,gmv,refund_amount,net_sales,cogs,gross_profit,marketing_expense,fulfillment_expense,channel_fee,contribution_profit
2024-02,北辰市,自营App,清洁用品,55956.66,2922.85,53033.81,32026.98,21006.83,1549.93,6048.00,671.48,12737.42
2024-02,北辰市,自营App,小家电,163992.93,16319.29,147673.64,112408.49,35265.15,4542.40,4384.80,1967.92,24370.03
2024-02,北辰市,自营小程序,厨房用品,52664.38,3312.98,49351.40,32325.49,17025.91,1265.93,4211.20,526.64,11022.14
2024-02,北辰市,自营小程序,收纳用品,42862.46,3120.80,39741.66,23649.85,16091.81,1030.32,3421.60,428.62,11211.27
2024-02,北辰市,自营小程序,清洁用品,36244.52,1853.05,34391.47,21275.15,13116.32,871.24,4032.00,362.45,7850.63
2024-02,北辰市,自营小程序,小家电,107899.07,10647.47,97251.60,75942.05,21309.55,2593.65,2928.80,1078.99,14708.11
2024-02,北辰市,第三方平台,厨房用品,43206.64,2720.27,40486.37,25346.81,15139.56,947.25,3304.00,3542.94,7345.37
2024-02,北辰市,第三方平台,收纳用品,35187.36,2601.58,32585.78,18339.23,14246.55,771.44,2632.00,2885.36,7957.75
2024-02,北辰市,第三方平台,清洁用品,29349.70,1498.57,27851.13,16368.09,11483.04,643.45,3108.00,2406.68,5324.91
2024-02,北辰市,第三方平台,小家电,88617.99,8716.16,79901.83,58721.92,21179.91,1942.83,2296.00,7266.68,9674.40
2024-02,云岭市,自营App,厨房用品,67408.58,4200.52,63208.06,40628.03,22580.03,1871.77,5331.20,808.90,14568.16
2024-02,云岭市,自营App,收纳用品,55322.61,4113.69,51208.92,29823.98,21384.94,1536.17,4289.60,663.87,14895.30
2024-02,云岭市,自营App,清洁用品,46735.73,2392.09,44343.64,26542.96,17800.68,1297.73,5118.40,560.83,10823.72
2024-02,云岭市,自营App,小家电,137928.82,13429.24,124499.58,95181.70,29317.88,3829.93,3696.00,1655.15,20136.80
2024-02,云岭市,自营小程序,厨房用品,44338.03,2804.47,41533.56,27408.40,14125.16,1079.15,3600.80,443.38,9001.83
2024-02,云岭市,自营小程序,收纳用品,36186.55,2645.67,33540.88,19921.31,13619.57,880.75,2856.00,361.87,9520.95
2024-02,云岭市,自营小程序,清洁用品,30130.31,1550.10,28580.21,17608.12,10972.09,733.34,3365.60,301.30,6571.85
2024-02,云岭市,自营小程序,小家电,92799.59,9275.18,83524.41,65775.92,17748.49,2258.66,2553.60,928.00,12008.23
2024-02,云岭市,第三方平台,厨房用品,37014.04,2323.08,34690.96,21580.73,13110.23,807.75,2839.20,3035.15,6428.13
2024-02,云岭市,第三方平台,收纳用品,30419.14,2223.83,28195.31,15942.91,12252.40,663.83,2284.80,2494.37,6809.40
2024-02,云岭市,第三方平台,清洁用品,24476.70,1261.70,23215.00,13588.34,9626.66,534.15,2598.40,2007.09,4487.02
2024-02,云岭市,第三方平台,小家电,74732.63,7316.60,67416.03,50176.19,17239.84,1630.87,1937.60,6128.08,7543.29
2024-02,东澜市,自营App,厨房用品,114337.39,5905.29,108432.10,69910.51,38521.59,3776.82,8221.40,1372.05,25151.32
2024-02,东澜市,自营App,收纳用品,94496.20,5760.80,88735.40,51714.41,37020.99,3121.42,6630.65,1133.95,26134.97
2024-02,东澜市,自营App,清洁用品,78170.89,3372.75,74798.14,44720.58,30077.56,2582.16,7665.90,938.05,18891.45
2024-02,东澜市,自营App,小家电,238764.38,19859.10,218905.28,164160.02,54745.26,7886.93,5686.30,2865.17,38306.86
2024-02,东澜市,自营小程序,厨房用品,76397.94,3962.39,72435.55,47350.52,25085.03,2202.09,5555.00,763.98,16563.96
2024-02,东澜市,自营小程序,收纳用品,61923.70,3735.93,58187.77,34517.63,23670.14,1784.89,4418.75,619.24,16847.26
2024-02,东澜市,自营小程序,清洁用品,50701.98,2168.04,48533.94,29452.83,19081.11,1461.43,5090.40,507.02,12022.26
2024-02,东澜市,自营小程序,小家电,155010.03,12860.85,142149.18,109027.55,33121.63,4468.01,3812.75,1550.10,23290.77
2024-02,东澜市,第三方平台,厨房用品,59986.23,3108.92,56877.31,35546.55,21330.76,1587.28,4156.15,4918.87,10668.46
2024-02,东澜市,第三方平台,收纳用品,48596.39,2978.72,45617.67,25593.52,20024.15,1285.90,3287.55,3984.90,11465.80
2024-02,东澜市,第三方平台,清洁用品,41013.68,1795.45,39218.23,22625.68,16592.55,1085.26,3913.75,3363.12,8230.42
2024-02,东澜市,第三方平台,小家电,118757.73,9625.18,109132.55,79805.80,29326.75,3142.43,2757.30,9738.13,13688.89
2024-02,海岳市,自营App,厨房用品,95678.50,5020.48,90658.02,57394.31,33263.71,3221.52,6797.30,1148.14,22096.75
2024-02,海岳市,自营App,收纳用品,77276.33,4784.31,72492.02,42179.68,30312.34,2601.91,5408.55,927.32,21374.56
2024-02,海岳市,自营App,清洁用品,63825.78,2746.18,61079.60,36316.00,24763.60,2149.03,6307.45,765.91,15541.21
2024-02,海岳市,自营App,小家电,196645.01,15869.15,180775.86,135959.67,44816.19,6621.08,4726.80,2359.74,31108.57
2024-02,海岳市,自营小程序,厨房用品,65186.21,3417.91,61768.30,39930.28,21838.02,1872.01,4711.65,651.86,14602.50
2024-02,海岳市,自营小程序,收纳用品,51851.34,3183.69,48667.65,28688.65,19979.00,1489.06,3706.70,518.51,14264.73
2024-02,海岳市,自营小程序,清洁用品,43922.61,1890.72,42031.89,25480.40,16551.49,1261.37,4393.50,439.23,10457.39
2024-02,海岳市,自营小程序,小家电,135402.69,11146.01,124256.68,96290.83,27965.85,3888.48,3343.10,1354.03,19380.24
2024-02,海岳市,第三方平台,厨房用品,52609.92,2730.99,49878.93,30789.95,19088.98,1363.89,3620.85,4314.01,9790.23
2024-02,海岳市,第三方平台,收纳用品,43124.15,2606.39,40517.76,22675.17,17842.59,1117.97,2918.90,3536.18,10269.54
2024-02,海岳市,第三方平台,清洁用品,34810.85,1489.05,33321.80,19322.17,13999.63,902.45,3338.05,2854.49,6904.64
2024-02,海岳市,第三方平台,小家电,106958.59,8845.22,98113.37,72363.66,25749.71,2772.85,2530.05,8770.60,11676.21
2024-02,南浦市,自营App,厨房用品,93658.56,4922.45,88736.11,57138.96,31597.15,3080.86,6397.15,1123.90,20995.24
2024-02,南浦市,自营App,收纳用品,73354.72,4428.08,68926.64,39748.76,29177.88,2412.97,4956.70,880.26,20927.95
2024-02,南浦市,自营App,清洁用品,62311.87,2717.66,59594.21,35563.96,24030.25,2049.72,5902.45,747.74,15330.34
2024-02,南浦市,自营App,小家电,191690.91,15658.37,176032.54,132765.39,43267.15,6305.60,4432.90,2300.29,30228.36
2024-02,南浦市,自营小程序,厨房用品,60858.54,3137.80,57720.74,37641.13,20079.61,1770.17,4229.20,608.59,13471.65
2024-02,南浦市,自营小程序,收纳用品,49131.46,2990.05,46141.41,27151.14,18990.27,1429.06,3375.60,491.31,13694.30
2024-02,南浦市,自营小程序,清洁用品,40923.18,1753.99,39169.19,23757.67,15411.52,1190.31,3938.20,409.23,9873.78
2024-02,南浦市,自营小程序,小家电,121807.55,10011.87,111795.68,85953.80,25841.88,3542.96,2876.05,1218.08,18204.79
2024-02,南浦市,第三方平台,厨房用品,48545.39,2545.02,46000.37,28826.20,17174.17,1280.20,3234.95,3980.72,8678.30
2024-02,南浦市,第三方平台,收纳用品,38286.72,2325.05,35961.67,20114.26,15847.41,1009.66,2507.45,3139.51,9190.79
2024-02,南浦市,第三方平台,清洁用品,31937.21,1375.39,30561.82,17737.11,12824.71,842.22,2934.25,2618.85,6429.39
2024-02,南浦市,第三方平台,小家电,98105.77,8042.38,90063.39,65947.06,24116.33,2587.16,2221.30,8044.67,11263.20
2024-02,榕川市,自营App,厨房用品,80962.05,4254.09,76707.96,48686.56,28021.40,2680.95,5529.00,971.54,18839.91
2024-02,榕川市,自营App,收纳用品,62407.52,3795.82,58611.70,33718.02,24893.68,2066.54,4209.80,748.89,17868.45
2024-02,榕川市,自营App,清洁用品,55397.73,2365.27,53032.46,31376.50,21655.96,1834.42,5184.65,664.77,13972.12
2024-02,榕川市,自营App,小家电,159459.80,12971.74,146488.06,109095.38,37392.68,5280.30,3656.90,1913.52,26541.96
2024-02,榕川市,自营小程序,厨房用品,49748.68,2582.88,47165.80,30413.14,16752.66,1446.15,3438.65,497.49,11370.37
2024-02,榕川市,自营小程序,收纳用品,40751.47,2497.88,38253.59,22319.49,15934.10,1184.61,2783.90,407.51,11558.08
2024-02,榕川市,自营小程序,清洁用品,35204.81,1515.08,33689.73,20462.93,13226.80,1023.37,3390.15,352.05,8461.23
2024-02,榕川市,自营小程序,小家电,98829.23,8218.63,90610.60,69930.17,20680.43,2872.87,2342.55,988.29,14476.72
2024-02,榕川市,第三方平台,厨房用品,41764.08,2188.25,39575.83,24297.49,15278.34,1094.44,2745.10,3424.65,8014.15
2024-02,榕川市,第三方平台,收纳用品,33706.42,2081.25,31625.17,17658.43,13966.74,883.28,2192.20,2763.93,8127.33
2024-02,榕川市,第三方平台,清洁用品,27762.24,1202.51,26559.73,15391.98,11167.75,727.52,2555.95,2276.50,5607.78
2024-02,榕川市,第三方平台,小家电,82870.33,6711.41,76158.92,55594.23,20564.69,2171.63,1876.95,6795.37,9720.74
2024-03,北辰市,自营App,厨房用品,98381.71,6150.17,92231.54,59808.41,32423.13,2797.15,7772.80,1180.58,20672.60
2024-03,北辰市,自营App,收纳用品,79645.21,5954.19,73691.02,43315.18,30375.84,2264.44,6204.80,955.74,20950.86
2024-03,北辰市,自营App,清洁用品,67809.17,3465.48,64343.69,38792.53,25551.16,1927.92,7352.80,813.71,15456.73
2024-03,北辰市,自营App,小家电,197662.02,19749.22,177912.80,135073.78,42839.02,5619.85,5286.40,2371.94,29560.83
2024-03,北辰市,自营小程序,厨房用品,65048.93,4078.27,60970.66,40621.35,20349.31,1569.61,5247.20,650.49,12882.01
2024-03,北辰市,自营小程序,收纳用品,52708.74,3829.40,48879.34,29088.00,19791.34,1271.85,4155.20,527.09,13837.20
2024-03,北辰市,自营小程序,清洁用品,43608.19,2241.53,41366.66,25457.10,15909.56,1052.25,4832.80,436.08,9588.43
2024-03,北辰市,自营小程序,小家电,131435.30,12946.06,118489.24,91582.58,26906.66,3171.50,3561.60,1314.35,18859.21
2024-03,北辰市,第三方平台,厨房用品,55030.74,3415.11,51615.63,32683.08,18932.55,1235.43,4228.00,4512.52,8956.60
2024-03,北辰市,第三方平台,收纳用品,41942.79,3099.57,38843.22,22065.31,16777.91,941.61,3164.00,3439.31,9232.99
2024-03,北辰市,第三方平台,清洁用品,37033.40,1923.74,35109.66,20751.19,14358.47,831.39,3925.60,3036.74,6564.74
2024-03,北辰市,第三方平台,小家电,109418.62,10661.74,98756.88,72542.05,26214.83,2456.42,2833.60,8972.33,11952.48
2024-03,云岭市,自营App,厨房用品,84001.38,5200.61,78800.77,50809.34,27991.43,2368.67,6658.40,1008.02,17956.34
2024-03,云岭市,自营App,收纳用品,67380.76,4882.17,62498.59,36766.05,25732.54,1900.01,5213.60,808.57,17810.36
2024-03,云岭市,自营App,清洁用品,59607.98,3090.51,56517.47,33943.49,22573.98,1680.83,6406.40,715.30,13771.45
2024-03,云岭市,自营App,小家电,177940.29,17690.21,160250.08,121500.25,38749.83,5017.57,4709.60,2135.28,26887.38
2024-03,云岭市,自营小程序,厨房用品,55730.08,3532.24,52197.84,34158.60,18039.24,1343.40,4463.20,557.30,11675.34
2024-03,云岭市,自营小程序,收纳用品,45621.42,3320.03,42301.39,25333.37,16968.02,1099.73,3589.60,456.21,11822.48
2024-03,云岭市,自营小程序,清洁用品,38403.03,1955.63,36447.40,22458.20,13989.20,925.72,4256.00,384.03,8423.45
2024-03,云岭市,自营小程序,小家电,113767.73,11354.00,102413.73,79589.62,22824.11,2742.42,3102.40,1137.68,15841.61
2024-03,云岭市,第三方平台,厨房用品,46683.73,2935.67,43748.06,27274.09,16473.97,1032.17,3561.60,3828.07,8052.13
2024-03,云岭市,第三方平台,收纳用品,36428.84,2685.51,33743.33,19356.83,14386.50,805.44,2777.60,2987.16,7816.30
2024-03,云岭市,第三方平台,清洁用品,31682.50,1639.53,30042.97,17703.57,12339.40,700.49,3337.60,2597.96,5703.35
2024-03,云岭市,第三方平台,小家电,93764.04,9167.51,84596.53,62261.76,22334.77,2073.11,2413.60,7688.65,10159.41
2024-03,东澜市,自营App,厨房用品,139491.66,7355.28,132136.38,84031.77,48104.61,4622.32,9882.85,1673.90,31925.54
2024-03,东澜市,自营App,收纳用品,114965.94,7074.13,107891.81,62119.36,45772.45,3809.62,8029.50,1379.59,32553.74
2024-03,东澜市,自营App,清洁用品,96648.49,4178.34,92470.15,55551.90,36918.25,3202.63,9458.65,1159.78,23097.19
2024-03,东澜市,自营App,小家电,295146.53,24061.81,271084.72,202676.01,68408.71,9780.24,7044.75,3541.76,48041.96
2024-03,东澜市,自营小程序,厨房用品,94251.28,4890.87,89360.41,58049.60,31310.81,2670.59,6817.50,942.51,20880.21
2024-03,东澜市,自营小程序,收纳用品,79247.17,4820.11,74427.06,43911.64,30515.42,2245.45,5656.00,792.47,21821.50
2024-03,东澜市,自营小程序,清洁用品,62108.30,2722.35,59385.95,36551.21,22834.74,1759.82,6287.25,621.08,14166.59
2024-03,东澜市,自营小程序,小家电,193951.10,16054.16,177896.94,137347.31,40549.63,5495.56,4782.35,1939.51,28332.21
2024-03,东澜市,第三方平台,厨房用品,77131.21,4070.25,73060.96,45509.85,27551.11,2010.85,5317.65,6324.76,13897.85
2024-03,东澜市,第三方平台,收纳用品,63128.53,3844.65,59283.88,33235.36,26048.52,1645.79,4307.65,5176.54,14918.54
2024-03,东澜市,第三方平台,清洁用品,53549.21,2307.46,51241.75,30105.41,21136.34,1396.06,5161.10,4391.04,10188.14
2024-03,东澜市,第三方平台,小家电,161092.75,13266.55,147826.20,108413.86,39412.34,4199.78,3762.25,13209.61,18240.70
2024-03,海岳市,自营App,厨房用品,119595.79,6198.98,113396.81,72265.58,41131.23,3973.28,8504.20,1435.15,27218.60
2024-03,海岳市,自营App,收纳用品,97287.74,5994.69,91293.05,52602.17,38690.88,3232.15,6797.30,1167.45,27493.98
2024-03,海岳市,自营App,清洁用品,83903.44,3642.10,80261.34,47986.24,32275.10,2787.49,8256.75,1006.84,20224.02
2024-03,海岳市,自营App,小家电,254471.48,20903.21,233568.27,175792.77,57775.50,8454.21,6140.80,3053.66,40126.83
2024-03,海岳市,自营小程序,厨房用品,82134.07,4192.49,77941.58,50543.02,27398.56,2339.13,5964.05,821.34,18274.04
2024-03,海岳市,自营小程序,收纳用品,68677.53,4148.80,64528.73,37963.85,26564.88,1955.89,4898.50,686.78,19023.71
2024-03,海岳市,自营小程序,清洁用品,57202.88,2462.91,54739.97,33194.53,21545.44,1629.10,5731.75,572.03,13612.56
2024-03,海岳市,自营小程序,小家电,168998.59,13994.05,155004.54,118753.86,36250.68,4812.98,4125.85,1689.99,25621.86
2024-03,海岳市,第三方平台,厨房用品,65777.82,3428.70,62349.12,38562.46,23786.66,1729.97,4575.30,5393.78,12087.61
2024-03,海岳市,第三方平台,收纳用品,53488.84,3245.04,50243.80,28061.25,22182.55,1406.77,3615.80,4386.08,12773.90
2024-03,海岳市,第三方平台,清洁用品,45169.74,1928.46,43241.28,24935.07,18306.21,1187.97,4322.80,3703.92,9091.52
2024-03,海岳市,第三方平台,小家电,134592.37,10915.56,123676.81,89498.16,34178.65,3539.81,3115.85,11036.57,16486.42
2024-03,南浦市,自营App,厨房用品,114643.11,6042.66,108600.45,69433.84,39166.61,3884.21,7793.95,1375.72,26112.73
2024-03,南浦市,自营App,收纳用品,89745.43,5428.23,84317.20,49167.23,35149.97,3040.65,6014.00,1076.95,25018.37
2024-03,南浦市,自营App,清洁用品,75982.67,3332.56,72650.11,43353.85,29296.26,2574.36,7192.55,911.79,18617.56
2024-03,南浦市,自营App,小家电,228051.60,18674.31,209377.29,157020.51,52356.78,7726.59,5271.95,2736.62,36621.62
2024-03,南浦市,自营小程序,厨房用品,74765.48,3924.81,70840.67,46277.53,24563.14,2110.09,5242.85,747.65,16462.55
2024-03,南浦市,自营小程序,收纳用品,61599.41,3790.23,57809.18,34354.12,23455.06,1738.50,4204.95,615.99,16895.62
2024-03,南浦市,自营小程序,清洁用品,52139.54,2226.50,49913.04,30350.75,19562.29,1471.52,5014.90,521.40,12554.47
2024-03,南浦市,自营小程序,小家电,159644.38,13198.04,146446.34,111747.90,34698.44,4505.60,3739.35,1596.44,24857.05
2024-03,南浦市,第三方平台,厨房用品,60488.35,3107.95,57380.40,35552.27,21828.13,1584.22,4030.35,4960.04,11253.52
2024-03,南浦市,第三方平台,收纳用品,48060.91,2908.98,45151.93,25633.47,19518.46,1258.74,3147.65,3940.99,11171.08
2024-03,南浦市,第三方平台,清洁用品,41068.46,1765.61,39302.85,22778.00,16524.85,1075.60,3768.45,3367.61,8313.19
2024-03,南浦市,第三方平台,小家电,127897.92,10446.82,117451.10,85720.54,31730.56,3349.70,2871.20,10487.63,15022.03
2024-03,榕川市,自营App,厨房用品,94778.14,4887.11,89891.03,57195.59,32695.44,3138.91,6469.90,1137.34,21949.29
2024-03,榕川市,自营App,收纳用品,77176.45,4697.75,72478.70,41517.72,30960.98,2555.97,5150.70,926.12,22328.19
2024-03,榕川市,自营App,清洁用品,67833.17,2889.37,64943.80,38591.83,26351.97,2246.53,6314.70,814.00,16976.74
2024-03,榕川市,自营App,小家电,199149.27,16516.63,182632.64,138398.77,44233.87,6595.52,4592.95,2389.79,30655.61
2024-03,榕川市,自营小程序,厨房用品,61451.28,3225.36,58225.92,37730.29,20495.63,1787.46,4287.40,614.51,13806.26
2024-03,榕川市,自营小程序,收纳用品,49094.44,2994.82,46099.62,27032.96,19066.66,1428.03,3356.20,490.94,13791.49
2024-03,榕川市,自营小程序,清洁用品,41694.96,1804.82,39890.14,24472.16,15417.98,1212.80,4010.95,416.95,9777.28
2024-03,榕川市,自营小程序,小家电,125094.36,10211.78,114882.58,88241.50,26641.08,3638.67,2929.40,1250.94,18822.07
