month,city,sales_channel,traffic_source,customer_type,visit_users,product_detail_users,paying_customers
2024-01,云岭市,第三方平台,自然流量,老客户,3264,2225,475
2024-01,云岭市,第三方平台,付费投放,老客户,2125,1101,169
2024-01,云岭市,第三方平台,内容合作,老客户,835,521,98
2024-01,东澜市,自营App,自然流量,新客户,11414,7369,1184
2024-01,东澜市,自营App,付费投放,新客户,7433,3639,421
2024-01,东澜市,自营App,私域触达,新客户,4778,3178,603
2024-01,东澜市,自营App,内容合作,新客户,2920,1680,238
2024-01,东澜市,自营App,自然流量,老客户,8539,5899,1169
2024-01,东澜市,自营App,付费投放,老客户,5560,2923,417
2024-01,东澜市,自营App,私域触达,老客户,3575,2621,613
2024-01,东澜市,自营App,内容合作,老客户,2184,1304,227
2024-01,东澜市,自营小程序,自然流量,新客户,9127,5798,943
2024-01,东澜市,自营小程序,付费投放,新客户,5943,2853,334
2024-01,东澜市,自营小程序,私域触达,新客户,3821,2535,487
2024-01,东澜市,自营小程序,自然流量,老客户,6414,4321,838
2024-01,东澜市,自营小程序,付费投放,老客户,4177,2127,297
2024-01,东澜市,自营小程序,私域触达,老客户,2685,1950,447
2024-01,东澜市,第三方平台,自然流量,新客户,7736,4919,845
2024-01,东澜市,第三方平台,付费投放,新客户,5037,2410,298
2024-01,东澜市,第三方平台,内容合作,新客户,1979,1109,168
2024-01,东澜市,第三方平台,自然流量,老客户,5666,3891,822
2024-01,东澜市,第三方平台,付费投放,老客户,3690,1876,286
2024-01,东澜市,第三方平台,内容合作,老客户,1450,882,164
2024-01,海岳市,自营App,自然流量,新客户,10342,6491,1046
2024-01,海岳市,自营App,付费投放,新客户,6734,3184,369
2024-01,海岳市,自营App,私域触达,新客户,4329,2986,568
2024-01,海岳市,自营App,内容合作,新客户,2646,1505,213
2024-01,海岳市,自营App,自然流量,老客户,7462,5111,1013
2024-01,海岳市,自营App,付费投放,老客户,4859,2589,369
2024-01,海岳市,自营App,私域触达,老客户,3123,2294,536
2024-01,海岳市,自营App,内容合作,老客户,1909,1143,199
2024-01,海岳市,自营小程序,自然流量,新客户,7807,4990,807
2024-01,海岳市,自营小程序,付费投放,新客户,5084,2446,285
2024-01,海岳市,自营小程序,私域触达,新客户,3268,2246,428
2024-01,海岳市,自营小程序,自然流量,老客户,5359,3667,724
2024-01,海岳市,自营小程序,付费投放,老客户,3490,1828,260
2024-01,海岳市,自营小程序,私域触达,老客户,2243,1629,379
2024-01,海岳市,第三方平台,自然流量,新客户,6641,4166,729
2024-01,海岳市,第三方平台,付费投放,新客户,4324,2089,263
2024-01,海岳市,第三方平台,内容合作,新客户,1699,984,151
2024-01,海岳市,第三方平台,自然流量,老客户,4670,3250,685
2024-01,海岳市,第三方平台,付费投放,老客户,3041,1610,244
2024-01,海岳市,第三方平台,内容合作,老客户,1195,719,134
2024-01,南浦市,自营App,自然流量,新客户,9188,5848,956
2024-01,南浦市,自营App,付费投放,新客户,5983,2835,334
2024-01,南浦市,自营App,私域触达,新客户,3846,2641,509
2024-01,南浦市,自营App,内容合作,新客户,2350,1332,192
2024-01,南浦市,自营App,自然流量,老客户,6872,4608,897
2024-01,南浦市,自营App,付费投放,老客户,4475,2383,334
2024-01,南浦市,自营App,私域触达,老客户,2877,2045,470
2024-01,南浦市,自营App,内容合作,老客户,1758,1079,185
2024-01,南浦市,自营小程序,自然流量,新客户,7083,4529,731
2024-01,南浦市,自营小程序,付费投放,新客户,4613,2263,263
2024-01,南浦市,自营小程序,私域触达,新客户,2965,2065,393
2024-01,南浦市,自营小程序,自然流量,老客户,5089,3533,689
2024-01,南浦市,自营小程序,付费投放,老客户,3313,1755,247
2024-01,南浦市,自营小程序,私域触达,老客户,2130,1522,350
2024-01,南浦市,第三方平台,自然流量,新客户,6022,3788,655
2024-01,南浦市,第三方平台,付费投放,新客户,3921,1887,235
2024-01,南浦市,第三方平台,内容合作,新客户,1540,858,130
2024-01,南浦市,第三方平台,自然流量,老客户,4407,2976,623
2024-01,南浦市,第三方平台,付费投放,老客户,2870,1516,229
2024-01,南浦市,第三方平台,内容合作,老客户,1127,675,124
2024-01,榕川市,自营App,自然流量,新客户,7953,5139,827
2024-01,榕川市,自营App,付费投放,新客户,5179,2440,283
2024-01,榕川市,自营App,私域触达,新客户,3329,2263,430
2024-01,榕川市,自营App,内容合作,新客户,2034,1172,166
2024-01,榕川市,自营App,自然流量,老客户,5800,3972,786
2024-01,榕川市,自营App,付费投放,老客户,3776,1979,282
2024-01,榕川市,自营App,私域触达,老客户,2428,1720,402
2024-01,榕川市,自营App,内容合作,老客户,1484,894,156
2024-01,榕川市,自营小程序,自然流量,新客户,6097,3877,631
2024-01,榕川市,自营小程序,付费投放,新客户,3970,1931,226
2024-01,榕川市,自营小程序,私域触达,新客户,2552,1705,328
2024-01,榕川市,自营小程序,自然流量,老客户,4252,2906,573
2024-01,榕川市,自营小程序,付费投放,老客户,2768,1458,207
2024-01,榕川市,自营小程序,私域触达,老客户,1780,1267,294
2024-01,榕川市,第三方平台,自然流量,新客户,5089,3289,581
2024-01,榕川市,第三方平台,付费投放,新客户,3313,1598,203
2024-01,榕川市,第三方平台,内容合作,新客户,1302,748,116
2024-01,榕川市,第三方平台,自然流量,老客户,3793,2587,548
2024-01,榕川市,第三方平台,付费投放,老客户,2470,1289,196
2024-01,榕川市,第三方平台,内容合作,老客户,970,578,108
2024-02,北辰市,自营App,自然流量,新客户,7592,4939,805
2024-02,北辰市,自营App,付费投放,新客户,4943,2415,284
2024-02,北辰市,自营App,私域触达,新客户,3178,2175,418
2024-02,北辰市,自营App,内容合作,新客户,1942,1113,160
2024-02,北辰市,自营App,自然流量,老客户,5517,3765,744
2024-02,北辰市,自营App,付费投放,老客户,3593,1899,270
2024-02,北辰市,自营App,私域触达,老客户,2309,1697,395
2024-02,北辰市,自营App,内容合作,老客户,1411,865,150
2024-02,北辰市,自营小程序,自然流量,新客户,5680,3665,590
2024-02,北辰市,自营小程序,付费投放,新客户,3698,1784,207
2024-02,北辰市,自营小程序,私域触达,新客户,2378,1631,310
2024-02,北辰市,自营小程序,自然流量,老客户,4227,2875,566
2024-02,北辰市,自营小程序,付费投放,老客户,2752,1437,204
2024-02,北辰市,自营小程序,私域触达,老客户,1769,1245,289
2024-02,北辰市,第三方平台,自然流量,新客户,5082,3299,572
2024-02,北辰市,第三方平台,付费投放,新客户,3309,1590,199
2024-02,北辰市,第三方平台,内容合作,新客户,1300,750,114
2024-02,北辰市,第三方平台,自然流量,老客户,3553,2424,513
2024-02,北辰市,第三方平台,付费投放,老客户,2314,1213,185
2024-02,北辰市,第三方平台,内容合作,老客户,909,562,105
2024-02,云岭市,自营App,自然流量,新客户,6332,4031,658
2024-02,云岭市,自营App,付费投放,新客户,4123,1949,229
2024-02,云岭市,自营App,私域触达,新客户,2651,1777,343
2024-02,云岭市,自营App,内容合作,新客户,1620,946,136
2024-02,云岭市,自营App,自然流量,老客户,4747,3302,659
2024-02,云岭市,自营App,付费投放,老客户,3091,1638,236
2024-02,云岭市,自营App,私域触达,老客户,1987,1456,343
2024-02,云岭市,自营App,内容合作,老客户,1214,723,127
2024-02,云岭市,自营小程序,自然流量,新客户,4957,3220,520
2024-02,云岭市,自营小程序,付费投放,新客户,3227,1582,184
2024-02,云岭市,自营小程序,私域触达,新客户,2075,1380,263
2024-02,云岭市,自营小程序,自然流量,老客户,3558,2382,466
2024-02,云岭市,自营小程序,付费投放,老客户,2317,1186,167
2024-02,云岭市,自营小程序,私域触达,老客户,1489,1052,243
2024-02,云岭市,第三方平台,自然流量,新客户,4271,2778,477
2024-02,云岭市,第三方平台,付费投放,新客户,2781,1309,162
2024-02,云岭市,第三方平台,内容合作,新客户,1093,626,94
2024-02,云岭市,第三方平台,自然流量,老客户,3024,2058,444
2024-02,云岭市,第三方平台,付费投放,老客户,1969,1030,160
2024-02,云岭市,第三方平台,内容合作,老客户,773,482,91
2024-02,东澜市,自营App,自然流量,新客户,10978,6953,1130
2024-02,东澜市,自营App,付费投放,新客户,7149,3471,406
2024-02,东澜市,自营App,私域触达,新客户,4596,3135,601
2024-02,东澜市,自营App,内容合作,新客户,2808,1633,233
2024-02,东澜市,自营App,自然流量,老客户,7867,5249,1072
2024-02,东澜市,自营App,付费投放,老客户,5123,2729,401
2024-02,东澜市,自营App,私域触达,老客户,3293,2426,584
2024-02,东澜市,自营App,内容合作,老客户,2012,1219,219
2024-02,东澜市,自营小程序,自然流量,新客户,8360,5222,853
2024-02,东澜市,自营小程序,付费投放,新客户,5443,2601,306
2024-02,东澜市,自营小程序,私域触达,新客户,3499,2400,463
2024-02,东澜市,自营小程序,自然流量,老客户,5912,4060,798
2024-02,东澜市,自营小程序,付费投放,老客户,3849,2031,288
2024-02,东澜市,自营小程序,私域触达,老客户,2475,1773,411
2024-02,东澜市,第三方平台,自然流量,新客户,6991,4459,772
2024-02,东澜市,第三方平台,付费投放,新客户,4552,2132,266
2024-02,东澜市,第三方平台,内容合作,新客户,1789,996,152
2024-02,东澜市,第三方平台,自然流量,老客户,5061,3428,725
2024-02,东澜市,第三方平台,付费投放,老客户,3296,1706,260
2024-02,东澜市,第三方平台,内容合作,老客户,1295,791,147
2024-02,海岳市,自营App,自然流量,新客户,9162,5812,942
2024-02,海岳市,自营App,付费投放,新客户,5966,2838,331
2024-02,海岳市,自营App,私域触达,新客户,3835,2673,512
2024-02,海岳市,自营App,内容合作,新客户,2344,1368,195
2024-02,海岳市,自营App,自然流量,老客户,6674,4450,872
2024-02,海岳市,自营App,付费投放,老客户,4346,2304,325
2024-02,海岳市,自营App,私域触达,老客户,2794,2062,477
2024-02,海岳市,自营App,内容合作,老客户,1707,1042,180
2024-02,海岳市,自营小程序,自然流量,新客户,7046,4600,731
2024-02,海岳市,自营小程序,付费投放,新客户,4588,2173,249
2024-02,海岳市,自营小程序,私域触达,新客户,2949,2023,380
2024-02,海岳市,自营小程序,自然流量,老客户,5201,3487,690
2024-02,海岳市,自营小程序,付费投放,老客户,3387,1785,255
2024-02,海岳市,自营小程序,私域触达,老客户,2177,1545,361
2024-02,海岳市,第三方平台,自然流量,新客户,5999,3784,662
2024-02,海岳市,第三方平台,付费投放,新客户,3907,1908,240
2024-02,海岳市,第三方平台,内容合作,新客户,1535,854,132
2024-02,海岳市,第三方平台,自然流量,老客户,4450,3033,641
2024-02,海岳市,第三方平台,付费投放,老客户,2898,1534,233
2024-02,海岳市,第三方平台,内容合作,老客户,1139,707,132
2024-02,南浦市,自营App,自然流量,新客户,8625,5540,896
2024-02,南浦市,自营App,付费投放,新客户,5617,2705,315
2024-02,南浦市,自营App,私域触达,新客户,3611,2497,477
2024-02,南浦市,自营App,内容合作,新客户,2206,1261,180
2024-02,南浦市,自营App,自然流量,老客户,6402,4447,894
2024-02,南浦市,自营App,付费投放,老客户,4169,2180,315
2024-02,南浦市,自营App,私域触达,老客户,2680,1937,459
2024-02,南浦市,自营App,内容合作,老客户,1638,987,175
2024-02,南浦市,自营小程序,自然流量,新客户,6662,4218,682
2024-02,南浦市,自营小程序,付费投放,新客户,4338,2048,238
2024-02,南浦市,自营小程序,私域触达,新客户,2788,1859,355
2024-02,南浦市,自营小程序,自然流量,老客户,4753,3216,639
2024-02,南浦市,自营小程序,付费投放,老客户,3095,1572,225
2024-02,南浦市,自营小程序,私域触达,老客户,1989,1427,334
2024-02,南浦市,第三方平台,自然流量,新客户,5581,3566,608
2024-02,南浦市,第三方平台,付费投放,新客户,3634,1725,212
2024-02,南浦市,第三方平台,内容合作,新客户,1428,833,125
2024-02,南浦市,第三方平台,自然流量,老客户,4127,2788,591
2024-02,南浦市,第三方平台,付费投放,老客户,2687,1372,209
2024-02,南浦市,第三方平台,内容合作,老客户,1056,654,122
2024-02,榕川市,自营App,自然流量,新客户,7555,4807,786
2024-02,榕川市,自营App,付费投放,新客户,4919,2313,272
2024-02,榕川市,自营App,私域触达,新客户,3162,2188,422
2024-02,榕川市,自营App,内容合作,新客户,1933,1094,157
2024-02,榕川市,自营App,自然流量,老客户,5317,3646,742
2024-02,榕川市,自营App,付费投放,老客户,3463,1794,263
2024-02,榕川市,自营App,私域触达,老客户,2226,1625,390
2024-02,榕川市,自营App,内容合作,老客户,1360,847,151
2024-02,榕川市,自营小程序,自然流量,新客户,5446,3530,569
2024-02,榕川市,自营小程序,付费投放,新客户,3547,1717,199
2024-02,榕川市,自营小程序,私域触达,新客户,2280,1558,297
2024-02,榕川市,自营小程序,自然流量,老客户,3945,2692,527
2024-02,榕川市,自营小程序,付费投放,老客户,2569,1343,189
2024-02,榕川市,自营小程序,私域触达,老客户,1652,1163,269
2024-02,榕川市,第三方平台,自然流量,新客户,4702,2960,511
2024-02,榕川市,第三方平台,付费投放,新客户,3062,1478,184
2024-02,榕川市,第三方平台,内容合作,新客户,1203,688,105
2024-02,榕川市,第三方平台,自然流量,老客户,3575,2440,515
2024-02,榕川市,第三方平台,付费投放,老客户,2328,1227,187
2024-02,榕川市,第三方平台,内容合作,老客户,915,548,102
2024-03,北辰市,自营App,自然流量,新客户,9651,6265,1035
2024-03,北辰市,自营App,付费投放,新客户,6285,3089,367
2024-03,北辰市,自营App,私域触达,新客户,4040,2770,540
2024-03,北辰市,自营App,内容合作,新客户,2469,1428,207
2024-03,北辰市,自营App,自然流量,老客户,6714,4461,869
2024-03,北辰市,自营App,付费投放,老客户,4372,2245,315
2024-03,北辰市,自营App,私域触达,老客户,2811,2008,462
2024-03,北辰市,自营App,内容合作,老客户,1718,1051,180
2024-03,北辰市,自营小程序,自然流量,新客户,7085,4518,726
2024-03,北辰市,自营小程序,付费投放,新客户,4614,2208,256
2024-03,北辰市,自营小程序,私域触达,新客户,2966,2063,391
2024-03,北辰市,自营小程序,自然流量,老客户,5061,3506,685
2024-03,北辰市,自营小程序,付费投放,老客户,3296,1679,236
2024-03,北辰市,自营小程序,私域触达,老客户,2119,1538,355
2024-03,北辰市,第三方平台,自然流量,新客户,6538,4278,733
2024-03,北辰市,第三方平台,付费投放,新客户,4257,2077,256
2024-03,北辰市,第三方平台,内容合作,新客户,1672,970,146
2024-03,北辰市,第三方平台,自然流量,老客户,4425,2971,625
2024-03,北辰市,第三方平台,付费投放,老客户,2881,1470,223
2024-03,北辰市,第三方平台,内容合作,老客户,1132,695,129
2024-03,云岭市,自营App,自然流量,新客户,8438,5495,876
2024-03,云岭市,自营App,付费投放,新客户,5494,2583,297
2024-03,云岭市,自营App,私域触达,新客户,3532,2377,447
2024-03,云岭市,自营App,内容合作,新客户,2159,1255,176
2024-03,云岭市,自营App,自然流量,老客户,5798,3856,768
2024-03,云岭市,自营App,付费投放,老客户,3775,2006,287
2024-03,云岭市,自营App,私域触达,老客户,2427,1738,408
2024-03,云岭市,自营App,内容合作,老客户,1483,906,159
2024-03,云岭市,自营小程序,自然流量,新客户,6093,3961,641
2024-03,云岭市,自营小程序,付费投放,新客户,3967,1932,225
2024-03,云岭市,自营小程序,私域触达,新客户,2551,1747,333
2024-03,云岭市,自营小程序,自然流量,老客户,4415,3009,580
2024-03,云岭市,自营小程序,付费投放,老客户,2875,1475,205
2024-03,云岭市,自营小程序,私域触达,老客户,1848,1348,306
2024-03,云岭市,第三方平台,自然流量,新客户,5279,3348,577
2024-03,云岭市,第三方平台,付费投放,新客户,3437,1621,201
2024-03,云岭市,第三方平台,内容合作,新客户,1350,775,118
2024-03,云岭市,第三方平台,自然流量,老客户,3972,2760,580
2024-03,云岭市,第三方平台,付费投放,老客户,2586,1343,203
2024-03,云岭市,第三方平台,内容合作,老客户,1016,627,116
2024-03,东澜市,自营App,自然流量,新客户,13256,8640,1395
2024-03,东澜市,自营App,付费投放,新客户,8632,4246,493
2024-03,东澜市,自营App,私域触达,新客户,5549,3774,719
2024-03,东澜市,自营App,内容合作,新客户,3391,1973,280
2024-03,东澜市,自营App,自然流量,老客户,9981,6712,1324
2024-03,东澜市,自营App,付费投放,老客户,6500,3401,483
2024-03,东澜市,自营App,私域触达,老客户,4178,2976,692
2024-03,东澜市,自营App,内容合作,老客户,2553,1569,272
2024-03,东澜市,自营小程序,自然流量,新客户,10075,6478,1050
2024-03,东澜市,自营小程序,付费投放,新客户,6561,3186,372
2024-03,东澜市,自营小程序,私域触达,新客户,4218,2857,547
2024-03,东澜市,自营小程序,自然流量,老客户,7438,5182,1023
2024-03,东澜市,自营小程序,付费投放,老客户,4844,2508,357
2024-03,东澜市,自营小程序,私域触达,老客户,3114,2247,524
2024-03,东澜市,第三方平台,自然流量,新客户,9287,5910,1037
2024-03,东澜市,第三方平台,付费投放,新客户,6047,2901,367
2024-03,东澜市,第三方平台,内容合作,新客户,2376,1364,211
2024-03,东澜市,第三方平台,自然流量,老客户,6418,4369,926
2024-03,东澜市,第三方平台,付费投放,老客户,4179,2177,332
2024-03,东澜市,第三方平台,内容合作,老客户,1642,994,185
2024-03,海岳市,自营App,自然流量,新客户,11463,7219,1186
2024-03,海岳市,自营App,付费投放,新客户,7464,3637,430
2024-03,海岳市,自营App,私域触达,新客户,4799,3217,624
2024-03,海岳市,自营App,内容合作,新客户,2932,1646,238
2024-03,海岳市,自营App,自然流量,老客户,8556,5942,1168
2024-03,海岳市,自营App,付费投放,老客户,5571,2930,415
2024-03,海岳市,自营App,私域触达,老客户,3582,2574,597
2024-03,海岳市,自营App,内容合作,老客户,2189,1360,235
2024-03,海岳市,自营小程序,自然流量,新客户,8942,5629,911
2024-03,海岳市,自营小程序,付费投放,新客户,5822,2799,326
2024-03,海岳市,自营小程序,私域触达,新客户,3743,2599,497
2024-03,海岳市,自营小程序,自然流量,老客户,6510,4448,884
2024-03,海岳市,自营小程序,付费投放,老客户,4239,2258,323
2024-03,海岳市,自营小程序,私域触达,老客户,2725,2007,470
2024-03,海岳市,第三方平台,自然流量,新客户,7889,5126,883
2024-03,海岳市,第三方平台,付费投放,新客户,5137,2408,299
2024-03,海岳市,第三方平台,内容合作,新客户,2018,1125,170
2024-03,海岳市,第三方平台,自然流量,老客户,5459,3802,802
2024-03,海岳市,第三方平台,付费投放,老客户,3555,1819,276
2024-03,海岳市,第三方平台,内容合作,老客户,1397,844,157
2024-03,南浦市,自营App,自然流量,新客户,10967,7142,1141
2024-03,南浦市,自营App,付费投放,新客户,7142,3396,391
2024-03,南浦市,自营App,私域触达,新客户,4591,3118,588
2024-03,南浦市,自营App,内容合作,新客户,2806,1574,221
2024-03,南浦市,自营App,自然流量,老客户,7724,5182,1022
2024-03,南浦市,自营App,付费投放,老客户,5030,2667,379
2024-03,南浦市,自营App,私域触达,老客户,3233,2360,549
2024-03,南浦市,自营App,内容合作,老客户,1976,1207,210
2024-03,南浦市,自营小程序,自然流量,新客户,8083,5152,841
2024-03,南浦市,自营小程序,付费投放,新客户,5264,2478,291
2024-03,南浦市,自营小程序,私域触达,新客户,3384,2283,440
2024-03,南浦市,自营小程序,自然流量,老客户,6055,4108,826
2024-03,南浦市,自营小程序,付费投放,老客户,3943,2049,297
2024-03,南浦市,自营小程序,私域触达,老客户,2534,1816,431
2024-03,南浦市,第三方平台,自然流量,新客户,7202,4516,788
2024-03,南浦市,第三方平台,付费投放,新客户,4690,2260,284
2024-03,南浦市,第三方平台,内容合作,新客户,1842,1061,163
2024-03,南浦市,第三方平台,自然流量,老客户,5133,3570,740
2024-03,南浦市,第三方平台,付费投放,老客户,3343,1738,259
2024-03,南浦市,第三方平台,内容合作,老客户,1313,795,145
2024-03,榕川市,自营App,自然流量,新客户,9171,5855,943
2024-03,榕川市,自营App,付费投放,新客户,5972,2846,330
2024-03,榕川市,自营App,私域触达,新客户,3839,2618,498
2024-03,榕川市,自营App,内容合作,新客户,2346,1319,187
2024-03,榕川市,自营App,自然流量,老客户,6603,4545,913
2024-03,榕川市,自营App,付费投放,老客户,4300,2271,328
2024-03,榕川市,自营App,私域触达,老客户,2764,2023,479
2024-03,榕川市,自营App,内容合作,老客户,1689,1029,182
2024-03,榕川市,自营小程序,自然流量,新客户,6756,4298,692
2024-03,榕川市,自营小程序,付费投放,新客户,4399,2085,241
2024-03,榕川市,自营小程序,私域触达,新客户,2828,1900,361
2024-03,榕川市,自营小程序,自然流量,老客户,4852,3306,649
2024-03,榕川市,自营小程序,付费投放,老客户,3160,1612,228
2024-03,榕川市,自营小程序,私域触达,老客户,2031,1431,332
2024-03,榕川市,第三方平台,自然流量,新客户,5912,3875,665
2024-03,榕川市,第三方平台,付费投放,新客户,3850,1818,225
2024-03,榕川市,第三方平台,内容合作,新客户,1513,854,129
2024-03,榕川市,第三方平台,自然流量,老客户,4399,2964,627
2024-03,榕川市,第三方平台,付费投放,老客户,2865,1473,224
2024-03,榕川市,第三方平台,内容合作,老客户,1125,701,131
2024-04,北辰市,自营App,自然流量,新客户,9561,6105,984
2024-04,北辰市,自营App,付费投放,新客户,6226,3028,351
2024-04,北辰市,自营App,私域触达,新客户,4003,2726,519
2024-04,北辰市,自营App,内容合作,新客户,2446,1373,195
2024-04,北辰市,自营App,自然流量,老客户,7100,4758,951
2024-04,北辰市,自营App,付费投放,老客户,4624,2463,355
2024-04,北辰市,自营App,私域触达,老客户,2972,2134,503
2024-04,北辰市,自营App,内容合作,老客户,1816,1103,194
2024-04,北辰市,自营小程序,自然流量,新客户,7304,4636,743
2024-04,北辰市,自营小程序,付费投放,新客户,4756,2335,269
2024-04,北辰市,自营小程序,私域触达,新客户,3058,2059,389
2024-04,北辰市,自营小程序,自然流量,老客户,5267,3499,679
2024-04,北辰市,自营小程序,付费投放,老客户,3429,1785,249
2024-04,北辰市,自营小程序,私域触达,老客户,2205,1558,357
2024-04,北辰市,第三方平台,自然流量,新客户,6373,4085,709
2024-04,北辰市,第三方平台,付费投放,新客户,4150,1976,247
2024-04,北辰市,第三方平台,内容合作,新客户,1630,945,144
2024-04,北辰市,第三方平台,自然流量,老客户,4575,3101,649
2024-04,北辰市,第三方平台,付费投放,老客户,2979,1526,230
2024-04,北辰市,第三方平台,内容合作,老客户,1171,731,135
2024-04,云岭市,自营App,自然流量,新客户,8305,5412,890
2024-04,云岭市,自营App,付费投放,新客户,5408,2628,311
2024-04,云岭市,自营App,私域触达,新客户,3476,2364,459
2024-04,云岭市,自营App,内容合作,新客户,2125,1216,176
2024-04,云岭市,自营App,自然流量,老客户,5663,3795,750
2024-04,云岭市,自营App,付费投放,老客户,3687,1955,278
2024-04,云岭市,自营App,私域触达,老客户,2370,1730,404
2024-04,云岭市,自营App,内容合作,老客户,1449,883,154
2024-04,云岭市,自营小程序,自然流量,新客户,6062,3917,632
2024-04,云岭市,自营小程序,付费投放,新客户,3947,1848,215
2024-04,云岭市,自营小程序,私域触达,新客户,2537,1737,330
2024-04,云岭市,自营小程序,自然流量,老客户,4425,3000,604
2024-04,云岭市,自营小程序,付费投放,老客户,2882,1493,216
2024-04,云岭市,自营小程序,私域触达,老客户,1852,1330,316
2024-04,云岭市,第三方平台,自然流量,新客户,5224,3359,574
2024-04,云岭市,第三方平台,付费投放,新客户,3402,1625,200
2024-04,云岭市,第三方平台,内容合作,新客户,1337,745,112
2024-04,云岭市,第三方平台,自然流量,老客户,3937,2657,557
2024-04,云岭市,第三方平台,付费投放,老客户,2563,1365,206
2024-04,云岭市,第三方平台,内容合作,老客户,1007,602,111
2024-04,东澜市,自营App,自然流量,新客户,13930,8965,1457
2024-04,东澜市,自营App,付费投放,新客户,9070,4297,503
2024-04,东澜市,自营App,私域触达,新客户,5831,3993,766
2024-04,东澜市,自营App,内容合作,新客户,3563,2051,293
2024-04,东澜市,自营App,自然流量,老客户,10033,6798,1362
2024-04,东澜市,自营App,付费投放,老客户,6533,3481,502
2024-04,东澜市,自营App,私域触达,老客户,4200,2993,707
2024-04,东澜市,自营App,内容合作,老客户,2567,1588,280
2024-04,东澜市,自营小程序,自然流量,新客户,10143,6580,1050
2024-04,东澜市,自营小程序,付费投放,新客户,6604,3204,368
2024-04,东澜市,自营小程序,私域触达,新客户,4246,2842,535
2024-04,东澜市,自营小程序,自然流量,老客户,7526,5005,990
2024-04,东澜市,自营小程序,付费投放,老客户,4901,2604,371
2024-04,东澜市,自营小程序,私域触达,老客户,3151,2257,527
2024-04,东澜市,第三方平台,自然流量,新客户,8940,5742,1003
2024-04,东澜市,第三方平台,付费投放,新客户,5821,2836,357
2024-04,东澜市,第三方平台,内容合作,新客户,2287,1272,195
2024-04,东澜市,第三方平台,自然流量,老客户,6300,4362,922
2024-04,东澜市,第三方平台,付费投放,老客户,4103,2157,328
2024-04,东澜市,第三方平台,内容合作,老客户,1612,987,184
2024-04,海岳市,自营App,自然流量,新客户,11232,7170,1150
2024-04,海岳市,自营App,付费投放,新客户,7314,3488,403
2024-04,海岳市,自营App,私域触达,新客户,4701,3222,610
2024-04,海岳市,自营App,内容合作,新客户,2873,1606,227
2024-04,海岳市,自营App,自然流量,老客户,8618,5956,1173
2024-04,海岳市,自营App,付费投放,老客户,5611,2890,410
2024-04,海岳市,自营App,私域触达,老客户,3607,2637,613
2024-04,海岳市,自营App,内容合作,老客户,2205,1342,232
2024-04,海岳市,自营小程序,自然流量,新客户,8851,5607,898
2024-04,海岳市,自营小程序,付费投放,新客户,5764,2818,325
2024-04,海岳市,自营小程序,私域触达,新客户,3705,2485,469
2024-04,海岳市,自营小程序,自然流量,老客户,6396,4274,858
2024-04,海岳市,自营小程序,付费投放,老客户,4165,2202,318
