month,city,sales_channel,category_l1,category_l2,customer_type,promotion_type,paying_customers,paid_orders,units_sold,gmv,refund_amount
2024-01,北辰市,自营小程序,清洁用品,清洁工具,老客户,无促销,94,121,201,7503.33,386.02
2024-01,北辰市,自营小程序,清洁用品,清洁工具,老客户,优惠券,28,37,62,2139.62,114.19
2024-01,北辰市,自营小程序,清洁用品,清洁工具,老客户,平台大促,15,20,34,1074.40,55.48
2024-01,北辰市,自营小程序,清洁用品,清洁工具,老客户,会员优惠,28,37,63,2130.03,113.59
2024-01,北辰市,自营小程序,清洁用品,家居耗材,老客户,无促销,84,112,191,4673.77,243.22
2024-01,北辰市,自营小程序,清洁用品,家居耗材,老客户,优惠券,25,33,56,1279.04,65.50
2024-01,北辰市,自营小程序,清洁用品,家居耗材,老客户,平台大促,14,19,32,652.80,33.77
2024-01,北辰市,自营小程序,清洁用品,家居耗材,老客户,会员优惠,25,32,53,1186.67,63.23
2024-01,北辰市,自营小程序,小家电,厨房小电,新客户,无促销,81,90,100,21492.00,2144.20
2024-01,北辰市,自营小程序,小家电,厨房小电,新客户,优惠券,24,27,30,5966.70,579.06
2024-01,北辰市,自营小程序,小家电,厨房小电,新客户,平台大促,13,15,17,3073.77,310.00
2024-01,北辰市,自营小程序,小家电,厨房小电,新客户,会员优惠,14,16,18,3483.00,344.24
2024-01,北辰市,自营小程序,小家电,生活电器,新客户,无促销,72,79,89,14691.23,1494.65
2024-01,北辰市,自营小程序,小家电,生活电器,新客户,优惠券,21,23,26,3973.84,386.03
2024-01,北辰市,自营小程序,小家电,生活电器,新客户,平台大促,12,13,15,2090.70,202.01
2024-01,北辰市,自营小程序,小家电,生活电器,新客户,会员优惠,13,14,16,2401.44,240.77
2024-01,北辰市,自营小程序,小家电,厨房小电,老客户,无促销,72,93,105,22566.60,2251.41
2024-01,北辰市,自营小程序,小家电,厨房小电,老客户,优惠券,21,28,31,6165.59,598.37
2024-01,北辰市,自营小程序,小家电,厨房小电,老客户,平台大促,12,16,18,3254.58,328.23
2024-01,北辰市,自营小程序,小家电,厨房小电,老客户,会员优惠,21,27,30,5805.00,573.74
2024-01,北辰市,自营小程序,小家电,生活电器,老客户,无促销,64,83,92,15186.44,1545.03
2024-01,北辰市,自营小程序,小家电,生活电器,老客户,优惠券,19,25,28,4279.52,415.73
2024-01,北辰市,自营小程序,小家电,生活电器,老客户,平台大促,11,15,17,2369.46,228.94
2024-01,北辰市,自营小程序,小家电,生活电器,老客户,会员优惠,19,25,28,4202.52,421.34
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,新客户,无促销,91,99,139,9867.61,611.28
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,新客户,优惠券,27,30,42,2757.30,172.15
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,新客户,平台大促,15,17,24,1448.64,89.34
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,新客户,会员优惠,16,18,26,1668.16,107.17
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,新客户,无促销,80,90,130,4448.60,268.03
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,新客户,优惠券,24,26,37,1182.89,73.20
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,新客户,平台大促,13,14,20,568.60,36.63
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,新客户,会员优惠,14,15,21,651.63,41.57
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,老客户,无促销,78,101,145,10293.55,637.67
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,老客户,优惠券,23,30,43,2822.95,176.24
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,老客户,平台大促,13,17,24,1448.64,89.34
2024-01,北辰市,第三方平台,厨房用品,烹饪器具,老客户,会员优惠,23,30,43,2758.88,177.24
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,老客户,无促销,70,93,132,4517.04,272.15
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,老客户,优惠券,21,27,39,1246.83,77.16
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,老客户,平台大促,11,14,20,568.60,36.63
2024-01,北辰市,第三方平台,厨房用品,餐厨工具,老客户,会员优惠,21,27,38,1179.14,75.23
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,新客户,无促销,71,77,119,5122.95,363.35
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,新客户,优惠券,21,23,36,1443.60,109.09
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,新客户,平台大促,12,13,20,733.00,52.19
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,新客户,会员优惠,13,14,22,876.04,65.27
2024-01,北辰市,第三方平台,收纳用品,空间整理,新客户,无促销,63,69,107,6100.07,445.76
2024-01,北辰市,第三方平台,收纳用品,空间整理,新客户,优惠券,18,20,31,1656.02,121.81
2024-01,北辰市,第三方平台,收纳用品,空间整理,新客户,平台大促,10,11,17,816.00,58.38
2024-01,北辰市,第三方平台,收纳用品,空间整理,新客户,会员优惠,11,12,18,949.86,71.32
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,老客户,无促销,58,75,114,4907.70,348.09
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,老客户,优惠券,17,22,34,1363.40,103.03
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,老客户,平台大促,10,13,20,733.00,52.19
2024-01,北辰市,第三方平台,收纳用品,衣物收纳,老客户,会员优惠,17,22,34,1353.88,100.87
2024-01,北辰市,第三方平台,收纳用品,空间整理,老客户,无促销,52,69,109,6214.09,454.09
2024-01,北辰市,第三方平台,收纳用品,空间整理,老客户,优惠券,15,20,31,1656.02,121.81
2024-01,北辰市,第三方平台,收纳用品,空间整理,老客户,平台大促,9,12,19,912.00,65.24
2024-01,北辰市,第三方平台,收纳用品,空间整理,老客户,会员优惠,15,20,31,1635.87,122.84
2024-01,北辰市,第三方平台,清洁用品,清洁工具,新客户,无促销,83,93,154,6053.74,307.68
2024-01,北辰市,第三方平台,清洁用品,清洁工具,新客户,优惠券,24,26,43,1572.08,81.86
2024-01,北辰市,第三方平台,清洁用品,清洁工具,新客户,平台大促,14,15,25,826.75,41.43
2024-01,北辰市,第三方平台,清洁用品,清洁工具,新客户,会员优惠,15,16,27,970.11,50.52
2024-01,北辰市,第三方平台,清洁用品,家居耗材,新客户,无促销,74,82,139,3604.27,186.45
2024-01,北辰市,第三方平台,清洁用品,家居耗材,新客户,优惠券,22,24,40,966.80,51.11
2024-01,北辰市,第三方平台,清洁用品,家居耗材,新客户,平台大促,12,13,22,477.40,24.93
2024-01,北辰市,第三方平台,清洁用品,家居耗材,新客户,会员优惠,13,14,23,544.18,28.52
2024-01,北辰市,第三方平台,清洁用品,清洁工具,老客户,无促销,75,98,164,6446.84,327.66
2024-01,北辰市,第三方平台,清洁用品,清洁工具,老客户,优惠券,22,29,48,1754.88,91.38
2024-01,北辰市,第三方平台,清洁用品,清洁工具,老客户,平台大促,12,16,27,892.89,44.74
2024-01,北辰市,第三方平台,清洁用品,清洁工具,老客户,会员优惠,22,29,49,1760.57,91.68
2024-01,北辰市,第三方平台,清洁用品,家居耗材,老客户,无促销,66,88,146,3785.78,195.83
2024-01,北辰市,第三方平台,清洁用品,家居耗材,老客户,优惠券,20,26,44,1063.48,56.22
2024-01,北辰市,第三方平台,清洁用品,家居耗材,老客户,平台大促,11,14,24,520.80,27.20
2024-01,北辰市,第三方平台,清洁用品,家居耗材,老客户,会员优惠,20,26,44,1041.04,54.57
2024-01,北辰市,第三方平台,小家电,厨房小电,新客户,无促销,61,68,77,17216.43,1640.68
2024-01,北辰市,第三方平台,小家电,厨房小电,新客户,优惠券,18,20,22,4591.40,437.74
2024-01,北辰市,第三方平台,小家电,厨房小电,新客户,平台大促,10,11,12,2260.68,226.26
2024-01,北辰市,第三方平台,小家电,厨房小电,新客户,会员优惠,11,12,13,2639.78,264.96
2024-01,北辰市,第三方平台,小家电,生活电器,新客户,无促销,54,60,68,11769.44,1168.62
2024-01,北辰市,第三方平台,小家电,生活电器,新客户,优惠券,16,18,20,3225.80,315.54
2024-01,北辰市,第三方平台,小家电,生活电器,新客户,平台大促,9,10,11,1619.20,162.12
2024-01,北辰市,第三方平台,小家电,生活电器,新客户,会员优惠,10,11,12,1904.76,191.36
2024-01,北辰市,第三方平台,小家电,厨房小电,老客户,无促销,54,70,79,17663.61,1683.30
2024-01,北辰市,第三方平台,小家电,厨房小电,老客户,优惠券,16,21,24,5008.80,477.53
2024-01,北辰市,第三方平台,小家电,厨房小电,老客户,平台大促,9,12,13,2449.07,245.12
2024-01,北辰市,第三方平台,小家电,厨房小电,老客户,会员优惠,16,21,24,4873.44,489.15
2024-01,北辰市,第三方平台,小家电,生活电器,老客户,无促销,48,62,69,11942.52,1185.80
2024-01,北辰市,第三方平台,小家电,生活电器,老客户,优惠券,14,18,20,3225.80,315.54
2024-01,北辰市,第三方平台,小家电,生活电器,老客户,平台大促,8,10,11,1619.20,162.12
2024-01,北辰市,第三方平台,小家电,生活电器,老客户,会员优惠,14,18,21,3333.33,334.87
2024-01,云岭市,自营App,厨房用品,烹饪器具,新客户,无促销,147,161,226,15456.14,941.93
2024-01,云岭市,自营App,厨房用品,烹饪器具,新客户,优惠券,43,48,68,4315.28,264.61
2024-01,云岭市,自营App,厨房用品,烹饪器具,新客户,平台大促,24,27,38,2184.62,140.88
2024-01,云岭市,自营App,厨房用品,烹饪器具,新客户,会员优惠,27,30,42,2653.98,170.10
2024-01,云岭市,自营App,厨房用品,餐厨工具,新客户,无促销,131,146,204,6732.00,423.95
2024-01,云岭市,自营App,厨房用品,餐厨工具,新客户,优惠券,39,43,60,1848.00,113.02
2024-01,云岭市,自营App,厨房用品,餐厨工具,新客户,平台大促,21,23,32,895.36,55.96
2024-01,云岭市,自营App,厨房用品,餐厨工具,新客户,会员优惠,24,27,38,1153.30,71.50
2024-01,云岭市,自营App,厨房用品,烹饪器具,老客户,无促销,123,161,227,15524.53,946.10
2024-01,云岭市,自营App,厨房用品,烹饪器具,老客户,优惠券,36,47,66,4188.36,256.82
2024-01,云岭市,自营App,厨房用品,烹饪器具,老客户,平台大促,20,27,38,2184.62,140.88
2024-01,云岭市,自营App,厨房用品,烹饪器具,老客户,会员优惠,37,48,68,4296.92,275.40
2024-01,云岭市,自营App,厨房用品,餐厨工具,老客户,无促销,109,143,200,6600.00,415.64
2024-01,云岭市,自营App,厨房用品,餐厨工具,老客户,优惠券,32,42,59,1817.20,111.14
2024-01,云岭市,自营App,厨房用品,餐厨工具,老客户,平台大促,18,24,34,951.32,59.46
2024-01,云岭市,自营App,厨房用品,餐厨工具,老客户,会员优惠,33,44,63,1912.05,118.55
2024-01,云岭市,自营App,收纳用品,衣物收纳,新客户,无促销,109,122,189,7864.29,591.38
2024-01,云岭市,自营App,收纳用品,衣物收纳,新客户,优惠券,32,35,55,2158.20,159.56
2024-01,云岭市,自营App,收纳用品,衣物收纳,新客户,平台大促,18,20,31,1099.88,80.42
2024-01,云岭市,自营App,收纳用品,衣物收纳,新客户,会员优惠,20,22,34,1289.62,95.55
2024-01,云岭市,自营App,收纳用品,空间整理,新客户,无促销,97,107,164,9106.92,678.36
2024-01,云岭市,自营App,收纳用品,空间整理,新客户,优惠券,29,32,50,2614.50,192.55
2024-01,云岭市,自营App,收纳用品,空间整理,新客户,平台大促,16,18,28,1309.84,93.57
2024-01,云岭市,自营App,收纳用品,空间整理,新客户,会员优惠,17,19,29,1476.68,105.65
2024-01,云岭市,自营App,收纳用品,衣物收纳,老客户,无促销,96,125,192,7989.12,600.77
2024-01,云岭市,自营App,收纳用品,衣物收纳,老客户,优惠券,28,36,56,2197.44,162.46
2024-01,云岭市,自营App,收纳用品,衣物收纳,老客户,平台大促,16,21,32,1135.36,83.02
2024-01,云岭市,自营App,收纳用品,衣物收纳,老客户,会员优惠,28,36,57,2162.01,160.19
2024-01,云岭市,自营App,收纳用品,空间整理,老客户,无促销,85,110,171,9495.63,707.32
2024-01,云岭市,自营App,收纳用品,空间整理,老客户,优惠券,25,33,51,2666.79,196.40
2024-01,云岭市,自营App,收纳用品,空间整理,老客户,平台大促,14,18,28,1309.84,93.57
2024-01,云岭市,自营App,收纳用品,空间整理,老客户,会员优惠,25,32,50,2546.00,182.16
2024-01,云岭市,自营App,清洁用品,清洁工具,新客户,无促销,132,143,242,9212.94,482.26
2024-01,云岭市,自营App,清洁用品,清洁工具,新客户,优惠券,39,42,70,2462.60,123.17
2024-01,云岭市,自营App,清洁用品,清洁工具,新客户,平台大促,22,24,41,1319.38,67.71
2024-01,云岭市,自营App,清洁用品,清洁工具,新客户,会员优惠,24,26,43,1483.50,78.39
2024-01,云岭市,自营App,清洁用品,家居耗材,新客户,无促销,117,127,213,5378.25,285.03
2024-01,云岭市,自营App,清洁用品,家居耗材,新客户,优惠券,35,38,63,1458.45,73.13
2024-01,云岭市,自营App,清洁用品,家居耗材,新客户,平台大促,19,21,35,730.80,36.66
2024-01,云岭市,自营App,清洁用品,家居耗材,新客户,会员优惠,21,23,38,857.28,43.73
2024-01,云岭市,自营App,清洁用品,清洁工具,老客户,无促销,113,150,256,9745.92,510.16
2024-01,云岭市,自营App,清洁用品,清洁工具,老客户,优惠券,33,43,73,2568.14,128.45
2024-01,云岭市,自营App,清洁用品,清洁工具,老客户,平台大促,18,24,40,1287.20,66.05
2024-01,云岭市,自营App,清洁用品,清洁工具,老客户,会员优惠,34,44,74,2553.00,134.91
2024-01,云岭市,自营App,清洁用品,家居耗材,老客户,无促销,100,129,213,5378.25,285.03
2024-01,云岭市,自营App,清洁用品,家居耗材,老客户,优惠券,30,39,66,1527.90,76.61
2024-01,云岭市,自营App,清洁用品,家居耗材,老客户,平台大促,16,21,35,730.80,36.66
2024-01,云岭市,自营App,清洁用品,家居耗材,老客户,会员优惠,30,39,67,1511.52,77.11
2024-01,云岭市,自营App,小家电,厨房小电,新客户,无促销,96,106,119,26307.33,2596.79
2024-01,云岭市,自营App,小家电,厨房小电,新客户,优惠券,29,32,36,7284.96,700.59
2024-01,云岭市,自营App,小家电,厨房小电,新客户,平台大促,16,17,19,3506.45,344.83
2024-01,云岭市,自营App,小家电,厨房小电,新客户,会员优惠,17,18,20,3950.00,399.85
2024-01,云岭市,自营App,小家电,生活电器,新客户,无促销,86,96,108,18264.96,1792.69
2024-01,云岭市,自营App,小家电,生活电器,新客户,优惠券,25,27,30,4715.10,468.83
2024-01,云岭市,自营App,小家电,生活电器,新客户,平台大促,14,16,18,2532.42,249.32
2024-01,云岭市,自营App,小家电,生活电器,新客户,会员优惠,15,17,19,2897.69,276.23
2024-01,云岭市,自营App,小家电,厨房小电,老客户,无促销,83,109,120,26528.40,2618.61
2024-01,云岭市,自营App,小家电,厨房小电,老客户,优惠券,24,32,36,7284.96,700.59
2024-01,云岭市,自营App,小家电,厨房小电,老客户,平台大促,14,19,21,3875.55,381.13
2024-01,云岭市,自营App,小家电,厨房小电,老客户,会员优惠,25,33,37,7307.50,739.72
2024-01,云岭市,自营App,小家电,生活电器,老客户,无促销,74,97,109,18434.08,1809.29
2024-01,云岭市,自营App,小家电,生活电器,老客户,优惠券,22,29,32,5029.44,500.08
2024-01,云岭市,自营App,小家电,生活电器,老客户,平台大促,12,16,18,2532.42,249.32
2024-01,云岭市,自营App,小家电,生活电器,老客户,会员优惠,22,28,32,4880.32,465.23
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,新客户,无促销,100,110,154,10398.08,669.64
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,新客户,优惠券,29,32,46,2860.28,181.56
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,新客户,平台大促,16,17,24,1375.68,87.55
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,新客户,会员优惠,18,20,28,1740.20,109.24
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,新客户,无促销,89,98,141,4517.64,279.15
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,新客户,优惠券,26,28,40,1198.40,75.57
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,新客户,平台大促,15,16,23,632.04,38.34
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,新客户,会员优惠,16,17,24,699.36,44.03
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,老客户,无促销,85,110,156,10533.12,678.33
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,老客户,优惠券,25,33,46,2860.28,181.56
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,老客户,平台大促,14,18,25,1433.00,91.20
2024-01,云岭市,自营小程序,厨房用品,烹饪器具,老客户,会员优惠,25,33,46,2858.90,179.47
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,老客户,无促销,75,100,141,4517.64,279.15
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,老客户,优惠券,22,29,42,1258.32,79.34
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,老客户,平台大促,12,16,23,632.04,38.34
2024-01,云岭市,自营小程序,厨房用品,餐厨工具,老客户,会员优惠,22,29,40,1165.60,73.38
2024-01,云岭市,自营小程序,收纳用品,衣物收纳,新客户,无促销,77,85,132,5495.16,392.88
